% Mike Stanley's IMU Data Logger
% Date & Time   Saturday 19 February 2011  -  04:31:43 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Gilbert and McKellips to garage.    Sensor lying on back seat of 97 Camry.  This run is intended to gather data representative of sensor data associated with City driving.  Street conditions: Wet
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 234 -497 211 -148 -62 290 -520 -535 -532 0 0 
2 225 -481 224 -118 -102 327 -521 -534 -531 0 0 
3 226 -479 240 -129 -98 300 -514 -538 -530 0 0 
4 229 -486 253 -126 -64 288 -516 -533 -530 0 0 
5 240 -501 252 -132 -111 325 -514 -535 -531 0 0 
6 253 -517 251 -132 -95 320 -512 -537 -530 0 0 
7 255 -522 245 -107 -83 319 -514 -534 -531 0 0 
8 258 -522 240 -110 -87 336 -512 -536 -530 0 0 
9 259 -527 238 -133 -73 315 -519 -535 -530 0 0 
10 263 -540 233 -129 -83 308 -522 -538 -531 0 0 
11 265 -545 227 -125 -88 316 -518 -535 -531 0 0 
12 266 -539 218 -111 -71 299 -517 -534 -531 0 0 
13 273 -535 209 -151 -66 295 -514 -538 -529 0 0 
14 261 -527 210 -136 -80 286 -521 -535 -533 0 0 
15 252 -512 215 -112 -74 311 -512 -535 -530 0 0 
16 254 -512 220 -136 -99 311 -516 -535 -530 0 0 
17 253 -515 217 -142 -69 308 -514 -537 -531 0 0 
18 257 -522 209 -105 -73 318 -517 -534 -531 0 0 
19 247 -507 206 -124 -97 329 -513 -537 -530 0 0 
20 245 -492 217 -129 -69 307 -515 -535 -531 0 0 
21 230 -481 230 -109 -78 318 -521 -535 -532 0 0 
22 230 -474 246 -126 -84 309 -515 -536 -530 0 0 
23 244 -486 257 -134 -84 315 -517 -535 -530 0 0 
24 246 -500 257 -123 -79 316 -513 -535 -530 0 0 
25 255 -511 251 -126 -85 320 -513 -535 -529 0 0 
26 258 -524 240 -122 -69 299 -519 -535 -530 0 0 
27 262 -520 239 -114 -74 298 -523 -534 -530 0 0 
28 265 -525 237 -134 -90 287 -525 -537 -531 0 0 
29 267 -531 232 -103 -85 295 -517 -533 -532 0 0 
30 269 -537 224 -94 -78 287 -515 -533 -529 0 0 
31 269 -541 215 -150 -96 300 -515 -535 -529 0 0 
32 270 -535 210 -141 -88 320 -509 -535 -531 0 0 
33 263 -517 214 -106 -78 307 -506 -533 -530 0 0 
34 255 -512 222 -137 -77 341 -514 -535 -528 0 0 
35 252 -512 222 -136 -79 330 -509 -534 -530 0 0 
36 253 -517 215 -127 -83 338 -518 -535 -530 0 0 
37 255 -515 207 -117 -87 323 -521 -535 -531 0 0 
38 242 -498 210 -115 -73 320 -524 -533 -530 0 0 
39 242 -498 210 -115 -73 320 -524 -533 -530 0 0 
40 235 -484 223 -137 -62 290 -522 -535 -531 0 0 
41 234 -481 239 -131 -81 302 -520 -534 -532 0 0 
42 232 -482 254 -119 -86 311 -513 -535 -530 0 0 
43 245 -493 257 -127 -54 299 -512 -533 -529 0 0 
44 251 -511 254 -125 -68 311 -516 -535 -530 0 0 
45 259 -521 243 -127 -86 322 -516 -533 -531 0 0 
46 260 -529 240 -126 -70 315 -518 -534 -530 0 0 
47 260 -528 240 -130 -89 319 -519 -533 -531 0 0 
48 261 -532 236 -108 -71 300 -516 -533 -530 0 0 
49 265 -538 231 -131 -64 292 -523 -534 -530 0 0 
50 271 -541 223 -140 -86 311 -518 -534 -530 0 0 
51 271 -537 215 -112 -93 322 -511 -533 -530 0 0 
52 262 -520 213 -127 -61 316 -510 -534 -529 0 0 
53 257 -513 218 -126 -76 313 -516 -534 -531 0 0 
54 252 -513 224 -135 -93 341 -518 -535 -530 0 0 
55 251 -517 220 -118 -81 319 -515 -533 -530 0 0 
56 251 -512 209 -131 -74 323 -516 -536 -529 0 0 
57 247 -501 208 -116 -96 319 -520 -534 -530 0 0 
58 234 -491 219 -111 -80 311 -517 -533 -530 0 0 
59 233 -475 234 -134 -73 303 -522 -534 -529 0 0 
60 232 -473 249 -148 -96 328 -513 -535 -531 0 0 
61 242 -484 259 -114 -94 351 -510 -533 -530 0 0 
62 249 -500 259 -139 -66 320 -508 -535 -529 0 0 
63 255 -515 250 -146 -65 318 -520 -534 -530 0 0 
64 259 -523 244 -103 -76 310 -525 -534 -531 0 0 
65 262 -523 242 -123 -104 337 -527 -533 -530 0 0 
66 262 -529 243 -136 -112 333 -516 -534 -531 0 0 
67 263 -534 235 -130 -73 311 -510 -535 -528 0 0 
68 267 -539 228 -118 -84 309 -515 -533 -530 0 0 
69 267 -532 216 -127 -93 329 -518 -535 -529 0 0 
70 263 -527 212 -118 -76 324 -517 -533 -530 0 0 
71 256 -518 216 -138 -80 330 -509 -535 -529 0 0 
72 254 -513 227 -145 -121 338 -520 -535 -531 0 0 
73 250 -516 220 -113 -80 326 -512 -533 -530 0 0 
74 253 -513 214 -155 -93 329 -523 -534 -529 0 0 
75 248 -502 208 -165 -87 352 -512 -535 -531 0 0 
76 238 -486 218 -120 -95 341 -513 -533 -531 0 0 
77 230 -472 231 -128 -72 331 -520 -533 -529 0 0 
78 230 -474 249 -152 -73 324 -522 -536 -530 0 0 
79 243 -486 259 -148 -94 334 -520 -534 -532 0 0 
80 246 -505 257 -110 -67 311 -516 -534 -529 0 0 
81 254 -509 252 -146 -79 305 -526 -535 -529 0 0 
82 257 -519 247 -138 -81 333 -516 -533 -532 0 0 
83 258 -517 243 -139 -100 339 -513 -533 -529 0 0 
84 262 -526 241 -165 -86 335 -510 -537 -529 0 0 
85 261 -535 236 -111 -77 332 -515 -532 -532 0 0 
86 265 -535 223 -148 -92 318 -518 -536 -529 0 0 
87 268 -538 211 -143 -92 305 -533 -535 -531 0 0 
88 264 -532 208 -110 -44 270 -533 -535 -533 0 0 
89 255 -518 216 -132 -104 322 -533 -530 -530 0 0 
90 247 -517 224 -153 -133 345 -507 -535 -530 0 0 
