% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Roughly 11.25X8.75X1 3/15 book with sensor mounted in 1 corner pushed off table.  This sample set was manually truncated to eliminate most of the "hit the floor" data  (a cushion was used to break the fall anyway).
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 330 150 430 12 21 354 -515 -534 -529 0 0 
2 330 142 429 12 21 354 -515 -534 -529 0 0 
3 332 145 429 13 21 354 -515 -533 -529 0 0 
4 329 146 430 12 21 354 -515 -533 -529 0 0 
5 332 146 430 12 21 353 -515 -534 -529 0 0 
6 329 144 431 12 21 353 -515 -534 -529 0 0 
7 328 150 430 12 21 353 -515 -533 -529 0 0 
8 330 147 430 12 21 353 -515 -534 -529 0 0 
9 331 147 431 12 21 353 -516 -533 -529 0 0 
10 328 139 430 12 21 353 -515 -534 -530 0 0 
11 328 144 428 12 21 354 -515 -534 -529 0 0 
12 330 153 429 12 21 354 -515 -533 -530 0 0 
13 331 153 429 12 21 353 -516 -534 -530 0 0 
14 329 151 430 12 21 354 -515 -534 -529 0 0 
15 330 147 430 12 21 353 -514 -534 -529 0 0 
16 332 145 429 12 21 353 -516 -534 -529 0 0 
17 330 148 429 12 22 352 -515 -534 -529 0 0 
18 329 146 429 12 21 351 -515 -534 -529 0 0 
19 332 140 431 11 21 351 -515 -534 -529 0 0 
20 329 143 430 11 22 351 -516 -534 -529 0 0 
21 330 146 429 11 21 353 -515 -533 -529 0 0 
22 330 144 430 11 21 353 -515 -534 -529 0 0 
23 331 151 430 11 21 354 -515 -534 -529 0 0 
24 329 150 427 13 20 355 -515 -535 -529 0 0 
25 333 153 430 13 20 356 -516 -534 -529 0 0 
26 328 150 430 14 20 355 -515 -534 -529 0 0 
27 330 148 430 14 20 355 -515 -535 -529 0 0 
28 331 146 431 14 21 354 -515 -534 -529 0 0 
29 329 153 431 13 21 353 -515 -534 -529 0 0 
30 333 149 431 12 21 351 -515 -534 -529 0 0 
31 331 150 430 11 22 352 -515 -534 -529 0 0 
32 329 152 429 11 22 352 -514 -534 -529 0 0 
33 328 149 431 10 21 351 -515 -534 -529 0 0 
34 333 147 430 11 21 353 -516 -534 -529 0 0 
35 331 150 432 11 21 354 -515 -534 -529 0 0 
36 331 150 430 11 20 353 -514 -534 -529 0 0 
37 330 149 428 12 21 353 -515 -534 -530 0 0 
38 332 148 431 12 21 353 -515 -534 -529 0 0 
39 331 151 430 12 21 353 -515 -534 -529 0 0 
40 332 145 431 12 21 354 -515 -535 -529 0 0 
41 330 150 430 12 21 354 -515 -534 -529 0 0 
42 331 151 432 12 21 355 -515 -534 -529 0 0 
43 332 141 430 12 21 354 -515 -534 -529 0 0 
44 330 147 431 12 21 355 -515 -533 -529 0 0 
45 328 146 431 13 20 354 -516 -534 -529 0 0 
46 330 140 431 13 20 355 -515 -534 -529 0 0 
47 331 145 429 13 21 354 -515 -534 -530 0 0 
48 330 151 428 13 21 352 -514 -534 -529 0 0 
49 329 155 430 13 21 352 -515 -534 -529 0 0 
50 330 147 429 12 22 353 -515 -533 -529 0 0 
51 328 148 431 11 22 352 -515 -534 -529 0 0 
52 331 142 432 11 21 350 -514 -534 -529 0 0 
53 334 149 429 11 21 353 -515 -534 -529 0 0 
54 330 149 429 11 21 352 -516 -534 -529 0 0 
55 331 148 430 11 20 354 -516 -534 -529 0 0 
56 330 150 429 12 21 354 -515 -534 -529 0 0 
57 333 147 430 13 21 353 -515 -534 -529 0 0 
58 330 149 430 13 21 353 -516 -534 -530 0 0 
59 328 145 430 13 21 353 -516 -534 -529 0 0 
60 332 153 431 13 21 353 -515 -533 -529 0 0 
