% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Roughly 11.25X8.75X1 3/15 book with sensor mounted in 1 corner pushed off table at a 45 degree angle.  This data set was manually truncated to eliminate most of the data resulting from the "hit the floor" event  (a cushion was used to break the fall anyway).
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 152 360 457 11 24 352 -515 -533 -529 0 0 
2 152 363 458 11 24 353 -515 -534 -529 0 0 
3 154 368 455 11 23 354 -515 -533 -529 0 0 
4 153 362 457 11 24 354 -516 -534 -529 0 0 
5 157 362 456 11 24 354 -515 -534 -529 0 0 
6 153 369 459 11 23 355 -514 -533 -529 0 0 
7 155 358 457 12 23 355 -514 -534 -529 0 0 
8 153 364 457 12 24 354 -515 -534 -530 0 0 
9 155 363 456 12 24 354 -514 -534 -529 0 0 
10 156 359 455 12 24 354 -515 -534 -530 0 0 
11 154 369 457 11 24 354 -515 -534 -529 0 0 
12 154 362 457 11 24 355 -515 -533 -529 0 0 
13 154 366 457 11 23 353 -515 -533 -529 0 0 
14 153 368 457 11 23 354 -514 -534 -529 0 0 
15 154 364 455 11 23 353 -515 -534 -529 0 0 
16 154 366 459 11 23 351 -515 -535 -529 0 0 
17 155 365 456 11 23 351 -515 -534 -530 0 0 
18 157 368 457 11 23 352 -515 -534 -529 0 0 
19 153 366 458 10 23 351 -515 -534 -529 0 0 
20 153 366 456 10 23 352 -516 -535 -529 0 0 
21 155 368 458 11 23 354 -515 -534 -529 0 0 
22 153 362 457 11 23 354 -516 -534 -529 0 0 
23 153 364 456 12 23 355 -515 -534 -529 0 0 
24 157 356 454 12 24 355 -515 -534 -529 0 0 
25 154 368 459 13 24 355 -516 -533 -530 0 0 
26 152 364 455 13 24 358 -515 -534 -530 0 0 
27 154 361 456 13 24 357 -514 -533 -529 0 0 
28 155 364 459 13 24 355 -515 -534 -529 0 0 
29 155 357 458 11 24 353 -515 -534 -529 0 0 
30 154 358 456 11 24 353 -515 -534 -529 0 0 
31 154 361 457 10 24 352 -516 -534 -530 0 0 
32 155 367 457 10 23 352 -515 -534 -529 0 0 
33 153 365 455 10 23 352 -515 -534 -529 0 0 
34 155 359 456 10 23 352 -515 -535 -529 0 0 
35 155 367 456 11 23 353 -515 -534 -529 0 0 
36 156 363 457 11 23 354 -515 -534 -529 0 0 
37 155 363 456 12 23 355 -515 -534 -529 0 0 
38 152 364 456 12 23 355 -515 -534 -529 0 0 
39 154 366 457 12 24 355 -516 -534 -530 0 0 
40 154 362 455 12 24 354 -514 -534 -529 0 0 
41 155 362 456 11 24 354 -515 -533 -529 0 0 
42 157 366 456 11 24 355 -515 -534 -530 0 0 
43 157 361 456 11 24 354 -515 -533 -529 0 0 
44 154 365 457 12 24 354 -515 -533 -530 0 0 
45 154 361 455 12 23 356 -515 -534 -529 0 0 
46 154 364 454 12 23 357 -515 -534 -529 0 0 
47 154 366 457 12 23 355 -514 -534 -529 0 0 
48 153 367 459 12 24 353 -515 -534 -529 0 0 
49 156 364 458 11 24 353 -515 -534 -529 0 0 
50 155 366 458 11 24 352 -515 -533 -529 0 0 
51 152 367 458 11 24 351 -515 -534 -529 0 0 
52 155 363 455 10 23 351 -515 -535 -529 0 0 
53 153 361 456 10 23 351 -515 -534 -529 0 0 
54 154 367 459 11 23 352 -515 -534 -529 0 0 
55 160 364 457 11 23 354 -515 -534 -529 0 0 
56 155 365 456 11 23 354 -515 -534 -529 0 0 
