% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Roughly 11.25X8.75X1 3/15 book with sensor mounted in center top pushed off table.  This data set was manually truncated to remove most of the data from the "hit the floor" event (a cushion was used to break the fall anyway).
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 334 128 409 14 6 353 -515 -534 -529 0 0 
2 338 128 410 14 6 353 -515 -534 -530 0 0 
3 340 130 411 14 7 354 -515 -534 -530 0 0 
4 337 125 412 14 6 354 -515 -533 -529 0 0 
5 337 133 411 14 7 353 -515 -534 -529 0 0 
6 337 126 413 14 6 354 -515 -533 -530 0 0 
7 338 121 411 14 6 354 -515 -533 -529 0 0 
8 337 133 412 14 7 353 -515 -534 -529 0 0 
9 337 130 411 14 7 353 -515 -534 -529 0 0 
10 337 128 413 14 6 353 -516 -534 -529 0 0 
11 334 133 412 14 6 353 -515 -534 -529 0 0 
12 337 129 412 14 6 354 -515 -534 -529 0 0 
13 336 129 411 14 6 354 -515 -533 -530 0 0 
14 335 130 411 14 7 355 -515 -534 -529 0 0 
15 335 124 413 14 6 353 -514 -534 -529 0 0 
16 337 135 413 14 7 353 -515 -533 -529 0 0 
17 338 128 413 14 7 353 -515 -534 -529 0 0 
18 337 129 413 13 7 351 -514 -533 -529 0 0 
19 335 125 412 13 7 350 -515 -534 -529 0 0 
20 336 123 411 13 7 352 -515 -534 -529 0 0 
21 336 130 411 13 7 351 -515 -534 -529 0 0 
22 336 132 412 13 7 351 -515 -534 -529 0 0 
23 337 127 412 13 7 353 -515 -534 -529 0 0 
24 338 132 412 14 6 354 -515 -534 -529 0 0 
25 336 127 411 14 6 354 -516 -534 -529 0 0 
26 338 126 412 14 6 355 -515 -534 -529 0 0 
27 336 131 413 15 6 354 -516 -534 -529 0 0 
28 339 124 412 15 5 356 -515 -534 -529 0 0 
29 337 128 412 15 6 357 -515 -534 -529 0 0 
30 335 132 412 15 6 356 -515 -534 -529 0 0 
31 336 127 411 14 6 353 -515 -533 -529 0 0 
32 337 128 411 14 7 353 -514 -534 -529 0 0 
