% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Roughly 11.25X8.75X1 3/15 book with sensor mounted in center bottom pushed off table.  This sample set was manually truncated to eliminate most of the "hit the floor" data  (a cushion was used to break the fall anyway).
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 264 181 295 -4 4 353 -515 -534 -530 0 0 
2 261 176 299 -4 4 353 -516 -534 -529 0 0 
3 263 179 296 -4 4 352 -515 -535 -529 0 0 
4 265 183 298 -4 4 353 -516 -534 -529 0 0 
5 262 186 297 -4 4 353 -515 -534 -529 0 0 
6 263 178 298 -4 4 352 -515 -534 -529 0 0 
7 264 184 297 -4 4 352 -515 -534 -529 0 0 
8 262 182 295 -4 4 351 -515 -534 -529 0 0 
9 261 175 295 -4 4 351 -515 -534 -529 0 0 
10 262 182 298 -4 4 351 -515 -533 -529 0 0 
11 267 183 295 -5 5 350 -515 -534 -529 0 0 
12 263 179 297 -5 5 349 -516 -534 -529 0 0 
13 264 182 297 -5 5 350 -515 -534 -529 0 0 
14 264 178 295 -5 4 351 -515 -534 -529 0 0 
15 265 173 296 -4 3 352 -516 -534 -529 0 0 
16 265 177 296 -4 3 353 -516 -534 -530 0 0 
17 263 182 296 -4 3 354 -515 -534 -529 0 0 
18 262 179 296 -2 3 355 -516 -534 -529 0 0 
19 264 177 295 -2 3 354 -514 -534 -529 0 0 
20 261 180 299 -2 4 353 -515 -534 -529 0 0 
21 267 173 295 -3 4 352 -515 -534 -529 0 0 
22 266 176 296 -3 5 351 -515 -533 -529 0 0 
23 262 175 296 -4 5 350 -515 -534 -529 0 0 
24 263 175 296 -6 5 350 -516 -533 -529 0 0 
25 264 180 295 -6 5 350 -515 -534 -529 0 0 
26 265 181 296 -6 4 349 -515 -534 -529 0 0 
27 261 175 296 -6 4 350 -515 -534 -529 0 0 
28 265 184 294 -5 3 352 -515 -534 -529 0 0 
29 259 184 296 -4 3 352 -515 -533 -529 0 0 
30 266 181 297 -4 3 352 -516 -534 -529 0 0 
31 265 184 296 -3 4 351 -515 -535 -529 0 0 
32 265 177 296 -3 5 351 -515 -534 -529 0 0 
33 262 180 297 -3 5 352 -515 -533 -528 0 0 
34 262 180 296 -4 5 352 -516 -534 -529 0 0 
35 261 184 295 -4 4 352 -515 -535 -530 0 0 
36 264 184 296 -5 4 352 -515 -534 -529 0 0 
37 265 183 297 -4 3 354 -516 -533 -530 0 0 
38 262 185 295 -4 3 353 -515 -534 -529 0 0 
39 261 187 295 -3 3 352 -515 -534 -529 0 0 
40 265 181 295 -3 4 351 -515 -534 -529 0 0 
41 264 178 297 -3 4 351 -515 -534 -529 0 0 
42 264 178 296 -3 5 351 -516 -534 -529 0 0 
43 267 185 297 -4 5 351 -515 -534 -529 0 0 
44 264 182 295 -5 5 349 -515 -534 -528 0 0 
45 263 179 296 -6 5 350 -515 -534 -529 0 0 
46 262 185 297 -6 4 351 -515 -534 -529 0 0 
47 263 182 297 -5 3 352 -516 -534 -529 0 0 
48 262 182 296 -5 3 352 -515 -535 -529 0 0 
49 264 183 296 -4 3 352 -515 -534 -529 0 0 
50 264 178 295 -3 4 353 -515 -534 -529 0 0 
51 262 185 299 -3 4 352 -515 -534 -529 0 0 
52 264 182 297 -2 5 352 -516 -534 -529 0 0 
53 264 178 297 -3 5 352 -515 -534 -529 0 0 
54 261 181 298 -3 5 352 -516 -534 -529 0 0 
55 261 181 298 -3 5 352 -516 -534 -529 0 0 
56 265 176 296 -4 4 352 -515 -534 -529 0 0 
57 263 175 297 -4 4 353 -515 -535 -529 0 0 
58 263 181 294 -5 3 353 -515 -534 -529 0 0 
59 265 179 296 -4 3 353 -515 -534 -530 0 0 
60 263 181 295 -4 3 353 -516 -533 -529 0 0 
61 264 185 295 -4 3 351 -515 -534 -529 0 0 
62 263 181 297 -4 4 351 -515 -534 -529 0 0 
63 260 186 298 -4 5 351 -515 -534 -529 0 0 
64 262 180 296 -4 5 350 -515 -534 -529 0 0 
65 263 179 297 -5 5 351 -516 -534 -529 0 0 
66 262 174 294 -5 5 351 -516 -534 -528 0 0 
67 263 178 296 -5 4 351 -515 -534 -529 0 0 
68 262 176 296 -5 3 352 -515 -534 -528 0 0 
69 265 179 297 -4 3 353 -515 -534 -529 0 0 
70 262 176 298 -3 3 353 -515 -534 -529 0 0 
71 263 183 297 -3 3 353 -515 -534 -529 0 0 
72 264 184 294 -3 4 353 -515 -534 -529 0 0 
73 262 184 295 -3 4 353 -515 -534 -529 0 0 
74 261 184 297 -3 5 353 -515 -534 -529 0 0 
