% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Roughly 11.25X8.75X1 3/15 book with sensor mounted in center bottom pushed off table.  "Spun" off table top.  This data set was manually truncated to remove the "hitting the floor" event.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 331 -82 470 -9 -2 354 -515 -534 -529 0 0 
2 333 -72 471 -9 -2 354 -515 -535 -530 0 0 
3 331 -75 469 -9 -2 353 -515 -534 -529 0 0 
4 333 -77 471 -9 -2 353 -516 -534 -529 0 0 
5 337 -74 471 -9 -1 354 -515 -534 -529 0 0 
6 334 -77 468 -9 -1 354 -515 -534 -529 0 0 
7 332 -84 471 -9 -1 354 -515 -534 -529 0 0 
8 338 -80 467 -9 -2 353 -515 -534 -529 0 0 
9 332 -77 468 -9 -2 353 -515 -535 -529 0 0 
10 334 -77 469 -9 -2 354 -515 -534 -529 0 0 
11 332 -77 469 -9 -2 354 -515 -534 -529 0 0 
12 332 -88 467 -9 -2 354 -515 -534 -529 0 0 
13 331 -82 470 -9 -2 353 -515 -535 -529 0 0 
14 330 -76 468 -9 -2 354 -515 -534 -528 0 0 
15 333 -79 468 -9 -2 354 -514 -534 -529 0 0 
16 332 -78 469 -9 -2 354 -515 -534 -529 0 0 
17 332 -80 467 -9 -1 352 -515 -535 -528 0 0 
18 332 -76 467 -9 -1 355 -516 -534 -529 0 0 
19 332 -80 468 -9 -1 355 -516 -533 -529 0 0 
20 331 -78 469 -9 -1 355 -516 -534 -529 0 0 
21 330 -76 469 -9 -2 354 -515 -534 -529 0 0 
22 332 -75 469 -9 -2 353 -515 -534 -529 0 0 
23 331 -77 468 -9 -2 353 -515 -534 -529 0 0 
24 334 -80 470 -9 -2 354 -515 -534 -530 0 0 
25 333 -80 470 -9 -2 353 -515 -533 -529 0 0 
26 332 -80 469 -9 -1 354 -516 -533 -529 0 0 
27 332 -80 470 -9 -2 354 -515 -534 -529 0 0 
28 330 -76 467 -9 -2 353 -516 -535 -529 0 0 
29 333 -74 466 -9 -2 353 -515 -534 -529 0 0 
30 332 -76 470 -9 -2 354 -515 -534 -529 0 0 
31 334 -79 468 -9 -2 354 -515 -534 -529 0 0 
32 334 -84 468 -9 -2 354 -515 -534 -529 0 0 
33 333 -75 470 -9 -1 354 -515 -534 -529 0 0 
34 331 -81 469 -9 -1 355 -515 -535 -529 0 0 
35 332 -80 468 -9 -2 355 -515 -534 -529 0 0 
36 331 -80 466 -9 -2 354 -515 -535 -529 0 0 
37 334 -81 467 -9 -2 354 -515 -534 -529 0 0 
38 332 -81 469 -9 -2 354 -515 -534 -529 0 0 
39 331 -78 468 -9 -2 354 -515 -534 -529 0 0 
40 333 -79 470 -9 -2 352 -515 -534 -529 0 0 
41 334 -81 468 -9 -2 353 -515 -534 -529 0 0 
42 333 -75 469 -9 -1 354 -515 -534 -529 0 0 
43 332 -77 469 -9 -2 355 -515 -534 -529 0 0 
44 337 -80 470 -9 -2 354 -514 -534 -529 0 0 
45 333 -73 470 -9 -2 354 -515 -534 -530 0 0 
46 330 -72 467 -9 -2 353 -514 -534 -529 0 0 
47 333 -75 469 -9 -2 355 -515 -534 -529 0 0 
48 333 -81 469 -9 -1 354 -515 -534 -529 0 0 
49 333 -78 468 -9 -1 354 -515 -534 -529 0 0 
50 331 -81 469 -9 -1 353 -514 -534 -529 0 0 
51 333 -78 467 -9 -1 354 -515 -533 -530 0 0 
52 332 -83 470 -9 -1 355 -515 -534 -529 0 0 
53 333 -77 468 -9 -2 353 -515 -533 -529 0 0 
54 332 -78 469 -9 -2 353 -515 -533 -529 0 0 
55 331 -78 469 -9 -2 354 -515 -534 -529 0 0 
56 332 -78 469 -9 -2 355 -515 -534 -529 0 0 
57 333 -81 469 -9 -2 354 -515 -534 -529 0 0 
58 334 -76 468 -9 -2 354 -516 -534 -529 0 0 
59 333 -74 469 -9 -1 355 -515 -534 -529 0 0 
60 331 -78 467 -9 -1 355 -515 -534 -530 0 0 
61 331 -84 470 -9 -1 355 -516 -534 -529 0 0 
62 331 -80 467 -9 -1 353 -515 -534 -529 0 0 
63 333 -81 468 -9 -1 353 -515 -534 -529 0 0 
64 334 -80 469 -9 -1 354 -515 -534 -529 0 0 
65 330 -79 470 -9 -2 354 -515 -534 -529 0 0 
66 334 -77 468 -9 -2 353 -515 -534 -529 0 0 
67 333 -86 469 -9 -2 353 -515 -534 -528 0 0 
68 333 -76 469 -9 -2 354 -515 -535 -529 0 0 
69 333 -79 469 -9 -2 355 -515 -534 -529 0 0 
70 335 -78 469 -9 -2 354 -515 -534 -529 0 0 
71 332 -75 468 -9 -2 354 -515 -534 -529 0 0 
72 332 -76 468 -9 -1 354 -515 -534 -529 0 0 
73 333 -76 468 -9 -1 354 -515 -534 -529 0 0 
74 333 -74 469 -9 -1 354 -515 -534 -529 0 0 
75 336 -82 470 -9 -1 354 -515 -534 -529 0 0 
76 332 -81 468 -9 -1 354 -515 -534 -529 0 0 
77 332 -85 469 -9 -2 354 -515 -533 -529 0 0 
78 331 -80 470 -9 -2 355 -515 -534 -529 0 0 
79 331 -79 470 -9 -2 354 -516 -534 -529 0 0 
80 333 -79 469 -9 -2 354 -515 -534 -529 0 0 
81 332 -79 469 -9 -2 354 -515 -534 -529 0 0 
82 333 -82 468 -9 -1 354 -515 -534 -529 0 0 
83 335 -76 467 -9 -2 354 -515 -534 -529 0 0 
84 335 -77 470 -9 -1 354 -516 -534 -529 0 0 
85 332 -78 470 -9 -2 354 -515 -534 -529 0 0 
86 334 -83 470 -9 -2 354 -515 -533 -529 0 0 
87 333 -73 468 -9 -1 354 -515 -534 -529 0 0 
88 331 -84 470 -9 -2 353 -516 -534 -530 0 0 
89 336 -71 468 -9 -2 354 -515 -534 -530 0 0 
90 331 -74 467 -9 -2 354 -515 -535 -529 0 0 
91 331 -72 470 -9 -2 354 -515 -534 -529 0 0 
92 330 -76 469 -9 -2 354 -515 -534 -529 0 0 
93 333 -78 468 -9 -2 354 -515 -534 -529 0 0 
94 335 -76 469 -9 -2 354 -515 -533 -529 0 0 
95 332 -84 469 -9 -2 354 -515 -533 -529 0 0 
96 332 -73 470 -9 -2 354 -515 -535 -529 0 0 
97 331 -78 470 -9 -1 354 -515 -534 -529 0 0 
98 330 -78 471 -9 -1 354 -515 -535 -529 0 0 
99 332 -75 471 -9 -2 354 -515 -534 -529 0 0 
100 334 -83 469 -9 -2 354 -516 -534 -529 0 0 
101 338 -75 468 -9 -2 354 -516 -535 -529 0 0 
102 333 -85 469 -9 -2 355 -515 -534 -529 0 0 
103 333 -84 467 -9 -2 355 -515 -535 -529 0 0 
104 333 -76 469 -9 -2 354 -515 -534 -529 0 0 
105 334 -77 469 -9 -2 354 -515 -535 -529 0 0 
106 332 -75 469 -9 -2 354 -515 -534 -530 0 0 
107 331 -79 468 -9 -1 354 -515 -533 -530 0 0 
108 331 -77 469 -9 -1 354 -516 -534 -529 0 0 
109 333 -77 468 -9 -1 355 -515 -534 -529 0 0 
110 333 -79 468 -9 -2 354 -515 -534 -529 0 0 
111 332 -80 469 -9 -2 353 -515 -534 -529 0 0 
112 332 -83 470 -9 -2 354 -515 -534 -529 0 0 
113 332 -80 469 -9 -2 354 -515 -534 -530 0 0 
114 331 -78 470 -9 -2 354 -516 -534 -529 0 0 
115 332 -79 470 -9 -1 353 -515 -534 -529 0 0 
116 338 -76 471 -9 -2 354 -516 -534 -529 0 0 
117 332 -81 469 -9 -1 354 -515 -534 -529 0 0 
118 332 -76 469 -9 -1 354 -515 -533 -529 0 0 
119 332 -74 471 -9 -1 354 -515 -534 -529 0 0 
120 332 -80 469 -9 -2 355 -515 -534 -530 0 0 
121 334 -80 470 -9 -2 353 -516 -534 -530 0 0 
122 334 -79 467 -9 -2 354 -515 -535 -529 0 0 
123 333 -75 470 -9 -2 354 -515 -534 -529 0 0 
124 329 -77 469 -9 -2 354 -515 -533 -529 0 0 
125 331 -78 470 -9 -2 354 -515 -534 -529 0 0 
126 333 -75 468 -9 -2 353 -515 -534 -529 0 0 
127 333 -75 468 -9 -1 354 -515 -534 -529 0 0 
128 331 -81 467 -9 -1 354 -515 -534 -529 0 0 
129 332 -73 471 -9 -2 355 -515 -534 -529 0 0 
130 329 -75 469 -9 -2 354 -515 -534 -529 0 0 
131 332 -75 470 -9 -2 354 -516 -534 -529 0 0 
132 330 -79 468 -9 -2 354 -516 -534 -529 0 0 
133 334 -79 469 -9 -2 354 -514 -534 -528 0 0 
134 330 -83 469 -9 -2 354 -515 -533 -529 0 0 
135 331 -83 469 -9 -2 354 -515 -534 -529 0 0 
136 334 -76 469 -9 -1 354 -515 -534 -528 0 0 
137 331 -78 469 -9 -2 354 -515 -534 -529 0 0 
138 331 -76 469 -9 -2 354 -515 -534 -529 0 0 
139 332 -75 468 -9 -2 354 -516 -534 -529 0 0 
140 335 -73 469 -9 -2 354 -515 -534 -529 0 0 
141 332 -77 471 -9 -2 355 -515 -534 -529 0 0 
142 331 -81 473 -9 -2 354 -515 -534 -529 0 0 
143 330 -79 468 -9 -2 355 -515 -533 -529 0 0 
144 331 -76 471 -9 -2 355 -515 -534 -529 0 0 
145 330 -77 470 -9 -2 354 -515 -533 -530 0 0 
146 333 -75 469 -9 -2 354 -515 -534 -529 0 0 
147 331 -80 471 -9 -1 354 -516 -534 -529 0 0 
148 332 -78 470 -9 -1 355 -515 -534 -529 0 0 
149 334 -77 467 -9 -1 355 -515 -534 -529 0 0 
150 332 -76 470 -9 -1 355 -515 -534 -529 0 0 
