% Mike Stanley's IMU Data Logger
% Date & Time   Sunday 20 February 2011  -  11:06:36 AM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor lying on backseat of 97 Camry traveling west on U.S. 60 between Lindsay and Mesa Drive.  This is s relatively straight section of freeway.  Surface conditions are "wet".  Distance travelled is approximately 3 miles.  Readings were initiated and terminated while car was in motion "at-speed" on the freeway.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 48 156 158 -35 6 329 -516 -537 -530 0 0 
2 46 134 144 -36 3 339 -517 -539 -530 0 0 
3 35 150 135 -7 -21 326 -521 -536 -530 0 0 
4 27 159 143 -29 -2 236 -519 -537 -529 0 0 
5 32 152 131 -21 28 285 -510 -539 -528 0 0 
6 17 170 135 4 32 362 -513 -536 -530 0 0 
7 4 203 154 -3 -11 287 -526 -532 -531 0 0 
8 17 192 169 -34 13 275 -518 -537 -529 0 0 
9 35 181 169 -42 9 280 -515 -539 -529 0 0 
10 42 165 163 -26 10 348 -518 -535 -530 0 0 
11 46 149 157 -4 -2 347 -514 -536 -531 0 0 
12 54 137 145 -24 12 349 -517 -535 -530 0 0 
13 49 142 135 -20 -15 294 -525 -534 -529 0 0 
14 37 162 142 -45 7 317 -510 -537 -529 0 0 
15 35 160 139 -34 6 329 -521 -539 -531 0 0 
16 27 163 131 5 -1 316 -517 -536 -531 0 0 
17 13 193 150 -12 -4 319 -514 -534 -529 0 0 
18 19 206 171 -22 1 349 -519 -535 -530 0 0 
19 36 187 173 -25 11 323 -517 -537 -529 0 0 
20 47 174 168 -24 0 337 -518 -536 -530 0 0 
21 52 155 164 1 -11 315 -516 -536 -530 0 0 
22 57 145 154 -16 -9 306 -519 -532 -529 0 0 
23 55 143 141 -33 4 350 -514 -539 -530 0 0 
24 47 161 147 -12 -7 337 -525 -539 -530 0 0 
25 40 157 144 -20 2 259 -513 -537 -531 0 0 
26 42 160 133 -29 22 277 -518 -533 -531 0 0 
27 32 190 146 -10 8 364 -508 -537 -530 0 0 
28 27 206 171 5 -8 426 -524 -534 -529 0 0 
29 41 193 179 -10 -2 382 -518 -538 -529 0 0 
30 64 172 175 -19 1 256 -521 -534 -530 0 0 
31 64 160 174 -37 -8 308 -512 -536 -531 0 0 
32 68 145 168 -16 -1 351 -517 -535 -529 0 0 
33 75 143 154 -25 1 320 -519 -538 -530 0 0 
34 73 148 159 -1 -3 286 -517 -534 -530 0 0 
35 63 165 164 -31 -4 328 -511 -533 -530 0 0 
36 65 156 162 4 16 335 -524 -538 -529 0 0 
37 55 181 177 -5 12 368 -508 -536 -529 0 0 
38 45 202 208 -7 -33 347 -528 -531 -531 0 0 
39 52 189 226 -3 5 211 -516 -537 -530 0 0 
40 56 173 230 -32 28 307 -512 -534 -527 0 0 
41 53 156 224 -43 34 426 -508 -535 -530 0 0 
42 41 145 208 10 -17 261 -532 -532 -532 0 0 
43 38 133 181 -23 -21 253 -518 -532 -530 0 0 
44 24 138 163 -47 -5 342 -506 -534 -528 0 0 
45 11 155 158 -45 -6 444 -520 -537 -530 0 0 
46 15 150 146 12 -8 317 -520 -534 -531 0 0 
47 8 170 138 -20 7 339 -507 -532 -530 0 0 
48 -3 200 154 -15 -17 372 -523 -531 -531 0 0 
49 9 201 169 -20 4 361 -515 -536 -529 0 0 
50 34 177 166 -10 16 350 -517 -533 -530 0 0 
51 46 163 162 -25 -20 358 -519 -532 -532 0 0 
52 55 144 160 -15 12 342 -510 -533 -530 0 0 
53 65 128 147 -31 -4 391 -524 -530 -530 0 0 
54 71 122 136 -40 -1 411 -515 -534 -532 0 0 
55 57 130 139 -15 25 397 -517 -534 -529 0 0 
56 59 131 138 -3 -10 398 -515 -532 -531 0 0 
57 53 121 127 4 7 422 -516 -532 -530 0 0 
58 44 152 143 -12 4 386 -520 -534 -529 0 0 
59 49 166 163 -18 -9 393 -519 -530 -530 0 0 
60 71 146 168 -33 8 384 -513 -534 -529 0 0 
61 94 124 165 -31 14 369 -522 -533 -530 0 0 
62 107 121 163 -6 0 401 -517 -532 -530 0 0 
63 121 100 158 -7 -5 431 -519 -532 -529 0 0 
64 130 91 151 -24 4 451 -518 -534 -530 0 0 
65 132 111 164 -18 7 420 -516 -533 -529 0 0 
66 131 115 182 -38 -15 422 -525 -531 -531 0 0 
67 130 117 185 -11 4 430 -514 -536 -529 0 0 
68 107 143 204 -13 16 408 -518 -532 -529 0 0 
69 84 166 229 -5 -3 392 -522 -532 -531 0 0 
70 82 150 234 -13 7 369 -516 -533 -529 0 0 
71 93 128 221 -33 2 412 -519 -533 -529 0 0 
72 91 118 212 -5 -6 417 -519 -534 -530 0 0 
73 95 116 209 -20 -5 408 -516 -535 -529 0 0 
74 107 116 209 -12 0 426 -517 -534 -530 0 0 
75 101 131 222 -17 -21 438 -521 -532 -530 0 0 
76 84 150 252 -36 -1 417 -515 -537 -529 0 0 
77 66 137 254 -23 -10 371 -521 -537 -529 0 0 
78 25 149 257 -4 -10 410 -512 -533 -531 0 0 
79 -10 180 273 -5 3 419 -519 -534 -530 0 0 
80 -22 182 281 -17 -1 401 -520 -538 -529 0 0 
81 -17 159 265 -22 9 358 -514 -537 -529 0 0 
82 -20 140 247 -16 -1 361 -518 -534 -530 0 0 
