% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor in left hand, tap with right index finger.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -445 -395 200 -332 38 95 -520 -537 -533 0 0 
2 -445 -395 203 -331 37 97 -519 -536 -533 0 0 
3 -446 -400 201 -331 35 100 -519 -535 -533 0 0 
4 -447 -393 202 -328 29 104 -518 -535 -532 0 0 
5 -445 -403 200 -323 26 105 -517 -533 -532 0 0 
6 -446 -400 200 -320 22 105 -516 -531 -532 0 0 
7 -447 -394 199 -319 21 104 -515 -531 -530 0 0 
8 -446 -394 199 -318 26 95 -516 -531 -529 0 0 
9 -447 -396 198 -319 29 92 -517 -533 -529 0 0 
10 -442 -401 198 -321 31 93 -517 -533 -530 0 0 
11 -446 -401 199 -321 32 93 -517 -534 -530 0 0 
12 -450 -402 199 -320 31 95 -518 -534 -531 0 0 
13 -448 -398 199 -322 31 99 -518 -533 -531 0 0 
14 -447 -402 198 -327 28 103 -517 -534 -532 0 0 
15 -450 -402 198 -329 28 103 -518 -535 -531 0 0 
16 -450 -401 197 -329 28 101 -518 -535 -531 0 0 
17 -448 -398 197 -329 26 104 -518 -533 -532 0 0 
18 -443 -398 197 -328 24 106 -517 -532 -530 0 0 
19 -450 -395 196 -327 25 105 -517 -530 -529 0 0 
20 -450 -398 195 -323 28 93 -517 -530 -528 0 0 
21 -451 -400 195 -322 26 90 -516 -531 -528 0 0 
22 -449 -396 195 -322 26 90 -517 -532 -528 0 0 
23 -449 -401 195 -324 27 91 -518 -532 -528 0 0 
24 -445 -401 195 -324 32 84 -518 -534 -530 0 0 
25 -447 -398 195 -323 31 83 -518 -536 -530 0 0 
26 -452 -401 194 -324 29 88 -520 -537 -531 0 0 
27 -449 -401 193 -332 29 96 -520 -537 -532 0 0 
28 -448 -399 195 -332 29 97 -520 -537 -531 0 0 
29 -450 -399 194 -331 28 97 -520 -537 -531 0 0 
30 -450 -397 195 -331 24 101 -519 -536 -531 0 0 
31 -450 -398 194 -331 26 103 -519 -533 -530 0 0 
32 -450 -397 193 -327 30 105 -519 -531 -530 0 0 
33 -451 -394 193 -324 26 93 -518 -532 -530 0 0 
34 -453 -397 193 -322 28 91 -517 -533 -530 0 0 
35 -450 -405 193 -319 28 92 -516 -533 -529 0 0 
36 -445 -407 192 -323 25 101 -516 -534 -530 0 0 
37 -448 -401 194 -324 24 105 -516 -532 -529 0 0 
38 -451 -405 192 -327 24 108 -517 -532 -528 0 0 
39 -452 -393 192 -330 23 108 -519 -532 -529 0 0 
40 -450 -402 189 -330 24 106 -519 -531 -529 0 0 
41 -452 -404 190 -329 25 105 -520 -531 -528 0 0 
42 -451 -396 189 -329 29 103 -519 -530 -529 0 0 
43 -452 -402 187 -330 39 92 -519 -529 -528 0 0 
44 -454 -394 188 -329 41 90 -518 -530 -528 0 0 
45 -454 -394 188 -329 42 89 -518 -529 -529 0 0 
46 -454 -397 186 -324 38 86 -516 -529 -530 0 0 
47 -454 -395 187 -321 34 86 -515 -529 -530 0 0 
48 -454 -398 187 -320 31 87 -514 -529 -529 0 0 
49 -455 -399 186 -323 26 94 -515 -528 -529 0 0 
50 -455 -396 185 -326 26 97 -514 -529 -530 0 0 
51 -456 -397 183 -328 24 96 -517 -530 -531 0 0 
52 -456 -398 183 -326 19 93 -518 -531 -531 0 0 
53 -455 -393 183 -324 16 94 -519 -531 -532 0 0 
54 -456 -404 181 -322 15 96 -519 -531 -531 0 0 
55 -456 -397 179 -319 19 93 -519 -531 -529 0 0 
56 -459 -397 183 -319 25 85 -518 -529 -528 0 0 
57 -459 -397 180 -321 29 83 -517 -529 -527 0 0 
58 -458 -399 178 -324 31 82 -515 -530 -526 0 0 
59 -457 -391 179 -330 34 85 -514 -530 -526 0 0 
60 -455 -392 180 -332 34 87 -515 -531 -527 0 0 
61 -457 -395 178 -332 30 89 -515 -531 -528 0 0 
62 -461 -393 178 -330 26 92 -515 -531 -528 0 0 
63 -459 -395 177 -330 26 92 -516 -531 -528 0 0 
64 -461 -391 177 -327 25 90 -517 -531 -529 0 0 
