% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor in left hand, tap with pen
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -397 -422 305 -322 14 111 -517 -533 -529 0 0 
2 -396 -416 306 -322 17 106 -517 -534 -529 0 0 
3 -397 -426 308 -321 21 103 -517 -535 -528 0 0 
4 -399 -423 305 -319 26 101 -516 -536 -529 0 0 
5 -394 -424 307 -320 25 102 -516 -537 -529 0 0 
6 -393 -417 308 -320 23 104 -516 -538 -531 0 0 
7 -390 -420 309 -323 22 109 -516 -538 -530 0 0 
8 -396 -426 307 -331 18 121 -516 -535 -531 0 0 
9 -394 -422 307 -332 16 126 -518 -533 -531 0 0 
10 -396 -421 308 -330 12 123 -516 -533 -532 0 0 
11 -394 -419 309 -326 4 122 -516 -533 -530 0 0 
12 -395 -423 306 -326 2 126 -516 -532 -529 0 0 
13 -399 -419 308 -326 3 126 -516 -532 -528 0 0 
14 -395 -423 306 -324 4 122 -516 -532 -528 0 0 
15 -395 -418 306 -324 4 124 -517 -530 -528 0 0 
16 -401 -419 304 -325 5 126 -517 -529 -527 0 0 
17 -399 -417 304 -327 14 117 -517 -530 -527 0 0 
18 -400 -419 304 -327 18 112 -517 -530 -527 0 0 
19 -400 -416 303 -328 21 108 -518 -531 -528 0 0 
20 -402 -414 300 -328 22 107 -518 -532 -528 0 0 
21 -400 -417 304 -333 22 111 -518 -533 -528 0 0 
22 -400 -419 303 -335 22 113 -517 -533 -529 0 0 
23 -403 -416 301 -335 22 115 -517 -533 -530 0 0 
24 -404 -416 300 -334 21 120 -518 -531 -531 0 0 
25 -401 -415 301 -335 21 125 -519 -529 -531 0 0 
26 -405 -423 299 -330 21 127 -519 -528 -530 0 0 
27 -405 -425 297 -329 18 119 -520 -528 -531 0 0 
28 -402 -420 296 -329 17 118 -520 -527 -531 0 0 
29 -406 -422 294 -328 18 118 -519 -527 -532 0 0 
30 -406 -424 294 -321 23 114 -521 -527 -531 0 0 
31 -406 -423 292 -322 19 114 -521 -526 -533 0 0 
32 -406 -423 290 -325 15 115 -522 -525 -533 0 0 
33 -408 -417 288 -321 13 110 -521 -524 -532 0 0 
34 -409 -416 286 -319 13 104 -521 -524 -531 0 0 
35 -407 -420 284 -317 14 98 -521 -524 -531 0 0 
36 -413 -422 286 -315 13 91 -521 -527 -531 0 0 
37 -408 -415 281 -311 12 88 -519 -527 -531 0 0 
38 -410 -419 280 -308 12 86 -518 -527 -530 0 0 
39 -413 -428 282 -308 12 87 -518 -527 -529 0 0 
40 -414 -432 280 -308 12 88 -518 -528 -529 0 0 
41 -416 -426 277 -309 11 85 -517 -529 -528 0 0 
42 -416 -426 277 -312 12 85 -518 -531 -528 0 0 
43 -417 -424 278 -317 11 90 -517 -531 -528 0 0 
44 -416 -418 278 -319 12 93 -518 -531 -528 0 0 
45 -415 -413 277 -321 14 91 -519 -532 -528 0 0 
46 -411 -424 276 -327 18 90 -519 -534 -528 0 0 
47 -413 -423 273 -328 19 90 -519 -534 -529 0 0 
48 -420 -420 274 -329 19 91 -519 -534 -529 0 0 
49 -416 -420 277 -331 19 97 -519 -533 -529 0 0 
50 -417 -417 276 -331 17 99 -517 -533 -530 0 0 
51 -415 -424 275 -329 14 98 -518 -533 -529 0 0 
52 -417 -415 275 -330 12 104 -517 -533 -529 0 0 
53 -416 -419 275 -331 11 106 -517 -533 -529 0 0 
54 -417 -417 273 -331 12 107 -517 -532 -529 0 0 
55 -421 -425 273 -331 12 107 -516 -531 -529 0 0 
56 -418 -420 272 -329 12 104 -518 -531 -529 0 0 
57 -416 -420 271 -327 12 101 -517 -531 -529 0 0 
58 -415 -422 273 -326 12 98 -518 -531 -529 0 0 
59 -416 -421 270 -324 13 93 -520 -531 -529 0 0 
60 -418 -416 269 -324 13 92 -518 -532 -529 0 0 
61 -421 -417 270 -324 15 91 -519 -533 -529 0 0 
62 -420 -418 270 -327 16 91 -518 -534 -529 0 0 
63 -418 -418 269 -329 16 91 -517 -535 -529 0 0 
64 -418 -419 270 -332 15 95 -517 -534 -529 0 0 
65 -419 -419 270 -333 15 97 -518 -535 -529 0 0 
66 -418 -422 271 -333 16 97 -518 -535 -530 0 0 
67 -417 -422 267 -331 15 97 -518 -535 -531 0 0 
68 -419 -420 269 -327 9 99 -519 -534 -530 0 0 
69 -420 -422 267 -327 11 99 -519 -533 -530 0 0 
70 -420 -426 269 -325 15 98 -519 -533 -529 0 0 
71 -420 -425 267 -324 19 95 -518 -532 -529 0 0 
72 -422 -427 265 -326 24 87 -519 -534 -529 0 0 
73 -413 -423 267 -325 24 86 -518 -535 -530 0 0 
74 -423 -419 267 -324 22 88 -518 -535 -530 0 0 
75 -419 -416 267 -322 20 93 -517 -534 -529 0 0 
76 -416 -417 267 -321 19 92 -517 -534 -529 0 0 
77 -415 -417 267 -320 17 92 -516 -535 -529 0 0 
78 -421 -421 267 -324 14 95 -517 -535 -530 0 0 
79 -420 -417 267 -325 13 96 -516 -535 -529 0 0 
80 -420 -423 266 -328 13 94 -517 -535 -530 0 0 
81 -419 -417 268 -328 13 93 -516 -535 -530 0 0 
82 -422 -418 266 -328 13 93 -517 -536 -529 0 0 
83 -420 -420 265 -328 15 94 -515 -535 -529 0 0 
84 -421 -423 268 -328 16 95 -516 -534 -529 0 0 
85 -423 -420 268 -324 15 94 -515 -534 -529 0 0 
86 -420 -426 270 -322 16 90 -515 -534 -529 0 0 
87 -420 -420 267 -321 19 86 -514 -534 -529 0 0 
88 -424 -429 269 -318 17 89 -514 -534 -529 0 0 
89 -421 -417 269 -319 14 93 -513 -535 -529 0 0 
90 -421 -420 270 -319 11 96 -513 -535 -528 0 0 
91 -422 -418 270 -324 8 103 -514 -535 -528 0 0 
92 -420 -419 271 -327 8 105 -514 -534 -528 0 0 
93 -418 -417 269 -329 9 107 -514 -533 -528 0 0 
94 -423 -416 267 -332 14 105 -516 -532 -527 0 0 
95 -422 -414 269 -333 15 104 -516 -532 -528 0 0 
96 -422 -414 270 -332 15 103 -517 -533 -529 0 0 
97 -421 -415 268 -329 15 103 -517 -531 -529 0 0 
