% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Drop sensor from one hand to another.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -107 241 623 32 18 358 -516 -531 -529 0 0 
2 -108 243 623 32 16 356 -515 -531 -529 0 0 
3 -108 243 624 32 11 346 -513 -531 -529 0 0 
4 -108 243 624 33 7 341 -512 -533 -530 0 0 
5 -107 250 624 32 2 340 -512 -535 -530 0 0 
6 -107 242 624 30 -7 349 -512 -534 -529 0 0 
7 -109 248 622 30 -7 353 -512 -534 -528 0 0 
8 -109 241 625 30 -5 356 -515 -533 -528 0 0 
9 -102 249 625 30 -3 359 -516 -532 -528 0 0 
10 -109 242 623 31 3 357 -516 -531 -528 0 0 
11 -108 245 625 32 8 353 -517 -531 -528 0 0 
12 -106 238 622 32 9 349 -517 -531 -530 0 0 
13 -112 242 623 30 13 343 -517 -532 -530 0 0 
14 -109 250 625 30 16 339 -519 -533 -530 0 0 
15 -110 240 626 29 16 335 -519 -534 -531 0 0 
16 -107 245 624 28 11 327 -518 -536 -531 0 0 
17 -109 248 624 27 9 329 -514 -538 -531 0 0 
18 -107 248 624 25 10 335 -512 -539 -530 0 0 
19 -103 245 623 23 14 353 -512 -539 -530 0 0 
20 -102 249 625 22 14 360 -513 -538 -530 0 0 
21 -107 247 624 21 13 365 -513 -536 -530 0 0 
22 -108 246 623 20 13 368 -513 -535 -529 0 0 
23 -107 246 624 22 15 365 -514 -534 -530 0 0 
24 -108 246 622 26 14 362 -516 -533 -531 0 0 
25 -107 250 621 28 10 361 -517 -533 -531 0 0 
26 -108 247 622 26 6 369 -518 -533 -532 0 0 
27 -108 247 623 23 2 375 -516 -532 -532 0 0 
28 -109 250 625 20 0 378 -517 -530 -532 0 0 
29 -111 248 624 19 2 368 -519 -530 -532 0 0 
30 -108 247 622 20 2 359 -518 -531 -532 0 0 
31 -111 247 623 21 1 350 -517 -531 -532 0 0 
32 -110 242 623 24 -1 341 -516 -532 -531 0 0 
33 -111 249 622 23 -2 343 -515 -533 -530 0 0 
34 -111 247 623 23 -1 348 -514 -534 -530 0 0 
35 -111 242 623 23 4 356 -513 -533 -530 0 0 
36 -113 246 624 21 3 359 -513 -533 -530 0 0 
37 -111 249 623 19 2 360 -512 -531 -529 0 0 
38 -107 247 621 22 4 356 -514 -532 -529 0 0 
39 -111 246 624 22 1 342 -515 -532 -529 0 0 
40 -113 249 621 24 -4 337 -515 -532 -528 0 0 
41 -111 251 623 26 -6 334 -514 -533 -528 0 0 
42 -113 246 623 27 -7 335 -515 -534 -528 0 0 
43 -114 246 621 26 -6 341 -516 -534 -528 0 0 
44 -113 250 624 26 -5 347 -517 -533 -528 0 0 
45 -113 255 624 27 -2 353 -518 -533 -527 0 0 
46 -113 243 623 28 2 353 -515 -533 -527 0 0 
47 -112 252 623 27 5 353 -514 -533 -527 0 0 
48 -113 242 624 29 8 348 -513 -534 -527 0 0 
49 -111 249 621 29 8 346 -514 -534 -527 0 0 
50 -114 247 620 30 8 346 -515 -533 -527 0 0 
51 -109 250 621 33 16 347 -516 -534 -527 0 0 
52 -109 247 623 32 18 348 -517 -534 -528 0 0 
53 -113 248 622 31 16 348 -518 -534 -528 0 0 
54 -113 244 623 30 12 350 -518 -534 -528 0 0 
55 -113 249 622 30 8 354 -517 -534 -528 0 0 
56 -110 248 622 30 9 357 -517 -534 -528 0 0 
57 -111 253 622 30 11 359 -518 -534 -528 0 0 
58 -114 251 622 34 14 359 -519 -533 -528 0 0 
59 -110 253 624 37 15 357 -519 -533 -528 0 0 
60 -113 251 621 39 15 354 -517 -533 -529 0 0 
61 -114 244 623 38 12 358 -515 -533 -529 0 0 
62 -113 245 622 36 10 362 -515 -533 -529 0 0 
63 -114 249 625 34 8 365 -513 -533 -529 0 0 
64 -110 250 621 34 10 363 -514 -532 -529 0 0 
65 -114 250 623 33 11 363 -513 -532 -530 0 0 
66 -114 252 622 32 10 361 -514 -531 -531 0 0 
67 -112 249 623 32 2 352 -515 -531 -530 0 0 
68 -113 248 620 33 -2 349 -516 -531 -531 0 0 
69 -112 247 620 35 -4 350 -515 -533 -530 0 0 
70 -111 249 622 34 -2 357 -515 -533 -530 0 0 
71 -116 241 622 29 2 375 -515 -531 -530 0 0 
72 -115 249 623 28 5 377 -516 -529 -530 0 0 
73 -113 248 623 28 10 376 -517 -528 -531 0 0 
74 -116 247 622 29 17 355 -518 -528 -532 0 0 
75 -119 245 621 27 16 345 -516 -528 -532 0 0 
76 -119 245 623 28 17 334 -516 -530 -532 0 0 
77 -119 252 622 28 13 317 -514 -533 -532 0 0 
78 -120 251 621 27 10 317 -513 -535 -531 0 0 
79 -118 254 619 27 9 322 -512 -537 -531 0 0 
80 -120 252 619 23 6 345 -512 -537 -531 0 0 
81 -114 255 624 19 6 361 -512 -536 -530 0 0 
82 -117 251 623 16 7 373 -514 -533 -531 0 0 
83 -121 246 621 15 12 384 -516 -531 -531 0 0 
84 -119 244 621 16 15 382 -518 -528 -532 0 0 
85 -120 246 620 18 18 376 -518 -527 -533 0 0 
86 -124 242 622 21 20 364 -518 -528 -533 0 0 
