% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Drop sensor from one hand to lap
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 644 309 -167 343 38 10 -507 -533 -532 0 0 
2 651 307 -169 351 36 10 -509 -534 -532 0 0 
3 647 310 -167 359 35 9 -514 -535 -532 0 0 
4 649 306 -165 363 36 10 -517 -536 -530 0 0 
5 645 310 -166 357 38 10 -519 -537 -529 0 0 
6 646 304 -167 348 41 10 -519 -536 -530 0 0 
7 645 299 -167 340 43 11 -518 -537 -528 0 0 
8 645 304 -167 328 46 10 -518 -538 -529 0 0 
9 652 303 -168 328 46 10 -518 -539 -529 0 0 
10 645 303 -168 332 46 11 -518 -541 -530 0 0 
11 646 300 -169 342 45 11 -518 -542 -530 0 0 
12 645 309 -172 346 44 12 -517 -543 -530 0 0 
13 646 305 -172 350 44 13 -513 -543 -530 0 0 
14 645 309 -178 349 44 15 -510 -544 -530 0 0 
15 642 303 -175 348 44 16 -506 -543 -530 0 0 
16 643 303 -181 349 44 17 -503 -543 -530 0 0 
17 645 304 -181 346 43 17 -502 -541 -530 0 0 
18 641 304 -181 342 44 18 -504 -539 -529 0 0 
19 643 305 -181 337 44 18 -508 -537 -528 0 0 
20 642 302 -181 333 44 19 -514 -536 -528 0 0 
21 643 310 -182 334 45 19 -520 -536 -528 0 0 
22 643 310 -181 336 46 18 -525 -536 -529 0 0 
23 644 303 -179 335 47 18 -527 -536 -528 0 0 
24 645 303 -177 335 49 19 -527 -535 -528 0 0 
25 644 302 -180 339 49 19 -523 -534 -529 0 0 
26 643 306 -176 345 49 18 -520 -533 -529 0 0 
27 644 305 -177 356 47 17 -516 -533 -530 0 0 
28 642 310 -180 361 45 17 -513 -531 -531 0 0 
29 643 307 -178 364 44 17 -511 -531 -532 0 0 
30 644 307 -179 354 43 17 -510 -530 -532 0 0 
31 642 307 -177 345 43 17 -512 -528 -532 0 0 
32 642 308 -176 340 43 17 -514 -527 -531 0 0 
33 644 306 -174 337 42 16 -516 -526 -531 0 0 
34 643 304 -172 336 41 16 -520 -527 -530 0 0 
35 643 308 -174 338 41 14 -522 -528 -530 0 0 
36 643 303 -172 345 43 14 -524 -529 -529 0 0 
37 646 304 -170 346 44 13 -524 -530 -528 0 0 
38 651 305 -169 345 45 13 -521 -530 -528 0 0 
39 643 309 -169 344 46 12 -518 -529 -528 0 0 
40 643 301 -169 345 45 13 -514 -530 -528 0 0 
41 645 305 -168 347 44 12 -513 -529 -528 0 0 
42 645 307 -166 348 43 13 -512 -529 -528 0 0 
43 647 304 -166 343 43 12 -513 -528 -527 0 0 
44 648 306 -167 339 42 12 -514 -528 -528 0 0 
45 647 303 -164 336 42 11 -516 -529 -528 0 0 
46 646 309 -164 344 41 11 -517 -530 -529 0 0 
47 648 302 -164 348 41 11 -518 -531 -528 0 0 
48 647 305 -162 348 42 10 -518 -530 -527 0 0 
49 650 298 -161 343 45 9 -517 -529 -527 0 0 
50 649 304 -161 340 46 9 -517 -530 -527 0 0 
51 650 301 -163 337 47 9 -517 -531 -526 0 0 
52 649 306 -160 331 49 9 -517 -531 -526 0 0 
53 648 307 -159 329 49 8 -517 -532 -527 0 0 
54 651 301 -159 331 48 8 -518 -533 -527 0 0 
55 649 302 -160 335 47 8 -519 -534 -529 0 0 
56 652 303 -161 347 45 8 -518 -536 -529 0 0 
57 647 303 -160 352 44 8 -518 -537 -530 0 0 
58 647 306 -160 353 45 9 -517 -539 -529 0 0 
59 650 305 -163 343 47 10 -515 -540 -530 0 0 
60 650 308 -164 338 48 11 -512 -540 -530 0 0 
61 648 303 -166 335 48 11 -510 -539 -530 0 0 
62 650 310 -166 335 46 12 -509 -537 -531 0 0 
63 647 306 -165 341 44 12 -510 -536 -532 0 0 
64 652 304 -166 350 41 12 -513 -537 -533 0 0 
65 648 310 -167 358 39 12 -517 -538 -533 0 0 
66 647 306 -165 354 39 12 -521 -537 -532 0 0 
67 648 307 -168 350 41 12 -522 -536 -531 0 0 
68 650 302 -166 342 43 12 -522 -536 -532 0 0 
69 647 305 -166 340 44 12 -520 -536 -531 0 0 
70 646 310 -165 336 45 12 -518 -535 -531 0 0 
71 645 298 -167 333 45 12 -519 -536 -531 0 0 
72 642 305 -166 327 45 11 -518 -537 -531 0 0 
73 644 304 -167 329 44 11 -518 -538 -531 0 0 
74 645 305 -166 335 43 11 -517 -539 -531 0 0 
75 646 305 -169 341 41 12 -516 -540 -531 0 0 
76 643 310 -169 343 41 12 -514 -541 -530 0 0 
77 645 302 -171 346 40 13 -512 -541 -529 0 0 
78 645 305 -173 351 40 15 -511 -540 -529 0 0 
79 646 307 -175 354 40 15 -510 -540 -528 0 0 
80 645 306 -174 355 41 15 -512 -539 -528 0 0 
81 644 304 -175 347 42 16 -513 -538 -528 0 0 
82 644 301 -173 345 43 16 -516 -538 -529 0 0 
83 645 303 -175 346 44 17 -518 -538 -530 0 0 
84 646 303 -174 349 44 15 -519 -537 -530 0 0 
85 646 303 -174 349 44 15 -519 -537 -530 0 0 
86 641 298 -174 349 45 16 -519 -535 -531 0 0 
87 642 300 -173 347 45 16 -518 -534 -530 0 0 
88 642 302 -176 345 45 16 -517 -532 -530 0 0 
89 645 308 -176 337 46 17 -515 -530 -530 0 0 
90 647 307 -174 332 46 17 -514 -529 -531 0 0 
91 643 301 -171 331 45 17 -515 -528 -531 0 0 
92 643 310 -171 338 41 15 -515 -527 -532 0 0 
93 644 305 -169 343 39 15 -518 -527 -532 0 0 
94 645 308 -168 347 38 14 -519 -526 -531 0 0 
95 644 307 -166 350 37 12 -521 -528 -531 0 0 
96 643 310 -164 349 38 12 -521 -530 -531 0 0 
97 643 306 -165 344 40 11 -521 -530 -530 0 0 
98 646 308 -166 336 42 11 -518 -531 -530 0 0 
99 643 302 -165 339 42 11 -515 -532 -529 0 0 
100 646 302 -165 345 42 10 -512 -531 -530 0 0 
101 645 311 -165 348 41 10 -512 -530 -530 0 0 
102 644 311 -164 343 42 10 -512 -530 -529 0 0 
103 646 311 -163 339 42 10 -513 -532 -530 0 0 
104 644 309 -162 338 42 10 -515 -532 -530 0 0 
105 646 307 -164 343 40 10 -515 -532 -530 0 0 
106 645 306 -161 344 40 10 -516 -534 -529 0 0 
107 646 307 -163 345 41 10 -515 -534 -529 0 0 
108 644 305 -162 342 43 12 -513 -534 -528 0 0 
109 644 309 -165 339 44 12 -513 -534 -527 0 0 
110 646 306 -165 336 45 13 -513 -533 -526 0 0 
111 647 307 -167 332 47 14 -513 -533 -526 0 0 
112 650 307 -164 330 47 14 -514 -533 -526 0 0 
113 646 306 -164 328 49 14 -515 -533 -525 0 0 
114 646 300 -163 324 50 14 -516 -535 -526 0 0 
115 648 307 -165 325 51 13 -516 -535 -525 0 0 
116 647 306 -167 327 51 13 -515 -536 -525 0 0 
117 649 307 -166 335 51 13 -514 -537 -526 0 0 
118 646 307 -166 340 51 14 -513 -538 -526 0 0 
119 647 297 -169 343 51 14 -512 -538 -526 0 0 
120 652 300 -170 341 52 14 -511 -538 -525 0 0 
121 647 295 -169 332 53 15 -508 -539 -524 0 0 
122 648 293 -171 328 53 16 -506 -538 -526 0 0 
123 646 300 -173 328 53 16 -506 -537 -526 0 0 
124 647 297 -171 337 49 16 -506 -537 -527 0 0 
125 648 297 -172 343 47 16 -509 -536 -527 0 0 
126 646 300 -172 348 46 17 -511 -534 -526 0 0 
127 649 297 -170 352 45 17 -515 -532 -526 0 0 
