% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor secured to center of screen.  Laptop in lap, allowed to tip forward on lap.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -283 4 728 -277 -17 207 -516 -534 -530 0 0 
2 -286 8 728 -276 -17 207 -516 -534 -530 0 0 
3 -285 1 729 -277 -17 207 -515 -534 -529 0 0 
4 -287 2 728 -277 -18 206 -515 -533 -529 0 0 
5 -287 1 728 -277 -18 206 -515 -533 -529 0 0 
6 -286 4 727 -277 -18 205 -516 -534 -529 0 0 
7 -287 6 729 -277 -18 205 -515 -534 -529 0 0 
8 -286 11 729 -277 -18 205 -515 -534 -529 0 0 
9 -289 10 727 -278 -18 204 -515 -534 -529 0 0 
10 -286 9 728 -278 -18 204 -515 -535 -528 0 0 
11 -287 9 729 -277 -19 204 -515 -534 -529 0 0 
12 -282 10 727 -278 -19 205 -515 -534 -529 0 0 
13 -285 7 731 -277 -19 205 -515 -534 -529 0 0 
14 -286 5 728 -277 -19 206 -515 -534 -529 0 0 
15 -287 11 730 -277 -20 207 -515 -534 -529 0 0 
16 -289 10 729 -277 -21 207 -515 -534 -529 0 0 
17 -288 11 728 -277 -21 207 -514 -534 -529 0 0 
18 -285 10 728 -277 -21 206 -516 -534 -529 0 0 
19 -286 10 728 -277 -21 207 -515 -534 -529 0 0 
20 -285 11 728 -277 -21 207 -516 -534 -529 0 0 
21 -287 14 728 -277 -21 208 -516 -534 -529 0 0 
22 -286 8 727 -276 -22 207 -515 -534 -529 0 0 
23 -288 9 727 -276 -23 208 -515 -534 -529 0 0 
24 -284 7 728 -276 -23 208 -515 -534 -529 0 0 
25 -285 11 729 -277 -24 208 -515 -534 -528 0 0 
26 -286 13 727 -278 -24 208 -515 -534 -529 0 0 
27 -289 17 727 -277 -23 208 -514 -534 -529 0 0 
28 -285 6 729 -276 -24 209 -515 -534 -529 0 0 
29 -288 9 727 -276 -24 209 -516 -534 -528 0 0 
30 -282 13 729 -276 -23 209 -516 -534 -528 0 0 
31 -287 15 730 -276 -22 208 -515 -534 -528 0 0 
32 -287 12 726 -276 -22 208 -515 -533 -529 0 0 
33 -286 9 725 -276 -22 208 -516 -533 -529 0 0 
34 -286 12 728 -277 -21 207 -515 -533 -529 0 0 
35 -287 9 725 -278 -20 205 -516 -534 -528 0 0 
36 -284 13 729 -277 -19 206 -516 -533 -529 0 0 
37 -284 8 728 -278 -19 205 -516 -533 -529 0 0 
38 -288 15 729 -278 -19 205 -516 -533 -529 0 0 
39 -289 11 727 -278 -19 204 -516 -533 -528 0 0 
40 -285 9 728 -277 -19 203 -516 -533 -529 0 0 
41 -288 7 727 -277 -19 203 -516 -533 -528 0 0 
42 -289 14 726 -276 -20 202 -516 -533 -528 0 0 
43 -287 6 728 -277 -20 202 -516 -534 -528 0 0 
44 -285 8 728 -279 -19 202 -516 -534 -528 0 0 
45 -288 11 727 -278 -20 202 -516 -534 -528 0 0 
46 -285 5 727 -277 -20 202 -517 -534 -528 0 0 
47 -286 2 727 -278 -21 202 -517 -534 -529 0 0 
48 -288 3 726 -279 -21 203 -517 -533 -529 0 0 
49 -287 0 726 -277 -21 203 -517 -533 -528 0 0 
50 -289 9 726 -276 -21 203 -518 -534 -528 0 0 
51 -289 10 727 -280 -25 205 -518 -535 -528 0 0 
52 -287 -1 725 -278 -26 206 -517 -534 -527 0 0 
53 -291 1 729 -275 -25 206 -518 -533 -528 0 0 
54 -289 9 724 -279 -26 208 -518 -534 -527 0 0 
55 -287 6 727 -281 -26 209 -517 -535 -528 0 0 
56 -292 5 726 -280 -26 209 -518 -534 -528 0 0 
57 -286 0 727 -276 -27 209 -518 -533 -528 0 0 
58 -288 11 725 -275 -27 209 -518 -533 -527 0 0 
59 -290 5 725 -274 -27 209 -518 -533 -527 0 0 
60 -285 10 724 -279 -29 208 -518 -533 -527 0 0 
61 -289 4 724 -278 -29 208 -518 -533 -527 0 0 
62 -290 8 727 -275 -28 208 -517 -533 -527 0 0 
63 -292 -1 727 -274 -27 207 -518 -533 -526 0 0 
64 -291 2 725 -278 -28 205 -517 -533 -527 0 0 
65 -292 3 726 -280 -27 205 -518 -533 -527 0 0 
66 -290 1 722 -281 -26 205 -517 -533 -526 0 0 
67 -290 0 726 -281 -23 204 -517 -533 -527 0 0 
68 -291 7 726 -281 -21 204 -517 -533 -527 0 0 
69 -292 6 726 -282 -19 204 -517 -533 -527 0 0 
70 -286 2 725 -282 -14 204 -517 -534 -527 0 0 
71 -293 6 721 -281 -10 204 -517 -533 -527 0 0 
72 -292 3 723 -279 -7 205 -516 -533 -527 0 0 
73 -292 3 722 -276 0 204 -516 -532 -527 0 0 
74 -293 2 723 -276 3 203 -516 -533 -526 0 0 
75 -296 7 726 -275 5 201 -516 -533 -527 0 0 
76 -293 5 725 -275 7 199 -516 -533 -528 0 0 
77 -292 4 725 -276 9 196 -516 -533 -528 0 0 
78 -295 7 724 -277 10 196 -516 -534 -528 0 0 
79 -294 1 724 -279 10 195 -516 -534 -529 0 0 
80 -292 4 726 -280 10 197 -515 -535 -528 0 0 
81 -292 1 723 -279 10 197 -515 -534 -529 0 0 
82 -293 1 725 -280 10 198 -515 -534 -530 0 0 
83 -291 4 720 -283 7 202 -515 -534 -529 0 0 
84 -290 -2 725 -279 7 203 -515 -534 -530 0 0 
85 -292 5 722 -276 8 204 -514 -534 -530 0 0 
86 -292 6 725 -276 6 205 -514 -534 -530 0 0 
87 -293 6 723 -276 5 204 -514 -535 -531 0 0 
88 -293 7 725 -276 4 204 -515 -534 -531 0 0 
89 -291 7 724 -276 4 203 -514 -533 -531 0 0 
90 -288 5 724 -276 3 203 -513 -534 -531 0 0 
91 -292 6 725 -277 3 204 -514 -534 -531 0 0 
92 -289 6 723 -277 3 203 -513 -534 -532 0 0 
93 -292 5 726 -277 4 204 -513 -534 -532 0 0 
94 -295 7 726 -281 2 205 -513 -535 -532 0 0 
95 -291 2 726 -282 -1 205 -512 -534 -532 0 0 
96 -293 4 726 -279 -3 207 -512 -535 -532 0 0 
97 -292 5 726 -278 -3 208 -512 -534 -532 0 0 
98 -293 7 726 -279 -4 209 -512 -534 -531 0 0 
99 -292 12 725 -279 -6 212 -512 -533 -531 0 0 
100 -290 5 725 -278 -7 213 -512 -534 -531 0 0 
101 -289 5 726 -278 -8 213 -511 -534 -531 0 0 
102 -291 5 726 -277 -9 214 -511 -533 -532 0 0 
103 -289 -3 727 -279 -11 213 -510 -534 -531 0 0 
104 -289 -3 727 -279 -11 213 -510 -534 -531 0 0 
105 -292 10 725 -282 -13 212 -511 -533 -531 0 0 
106 -291 8 728 -284 -15 212 -510 -534 -531 0 0 
107 -291 12 726 -282 -16 211 -510 -533 -531 0 0 
108 -292 15 728 -281 -17 211 -510 -532 -531 0 0 
109 -287 15 727 -282 -18 211 -509 -533 -530 0 0 
110 -291 15 727 -283 -18 212 -509 -532 -530 0 0 
111 -289 11 726 -283 -18 212 -508 -532 -530 0 0 
112 -291 22 726 -284 -18 213 -508 -532 -529 0 0 
113 -293 21 726 -284 -17 213 -509 -532 -529 0 0 
114 -294 16 726 -285 -17 212 -508 -532 -529 0 0 
115 -293 14 727 -286 -18 212 -508 -531 -529 0 0 
116 -294 18 728 -291 -18 209 -507 -531 -529 0 0 
117 -295 19 726 -294 -17 208 -508 -531 -529 0 0 
118 -296 21 729 -294 -17 207 -509 -531 -529 0 0 
119 -296 29 724 -294 -19 206 -508 -530 -529 0 0 
120 -298 31 726 -295 -20 206 -508 -531 -529 0 0 
121 -297 34 727 -296 -20 207 -508 -530 -528 0 0 
122 -296 30 728 -295 -21 207 -508 -530 -528 0 0 
123 -300 23 725 -290 -21 207 -507 -528 -528 0 0 
124 -300 31 729 -287 -21 207 -507 -529 -528 0 0 
125 -301 26 726 -285 -21 207 -507 -528 -527 0 0 
126 -301 31 725 -284 -20 206 -507 -529 -528 0 0 
127 -300 35 725 -284 -19 207 -507 -530 -527 0 0 
128 -301 30 725 -283 -18 208 -507 -529 -528 0 0 
129 -305 34 726 -284 -14 210 -506 -529 -528 0 0 
130 -304 41 725 -285 -12 212 -507 -529 -527 0 0 
131 -302 43 724 -287 -9 212 -507 -529 -529 0 0 
132 -305 40 724 -295 -6 211 -507 -529 -528 0 0 
133 -309 40 724 -299 -5 210 -507 -528 -529 0 0 
134 -308 41 725 -301 -5 209 -507 -527 -529 0 0 
135 -308 40 725 -302 -5 208 -507 -528 -529 0 0 
136 -309 46 723 -300 -5 206 -507 -527 -530 0 0 
137 -311 55 726 -297 -6 204 -507 -527 -530 0 0 
138 -308 52 722 -294 -6 202 -507 -527 -529 0 0 
139 -314 54 725 -287 -3 199 -507 -528 -530 0 0 
140 -309 54 721 -284 -1 197 -507 -528 -530 0 0 
141 -315 53 723 -281 1 194 -508 -528 -531 0 0 
142 -316 62 721 -276 4 192 -507 -530 -531 0 0 
143 -316 54 722 -274 6 191 -509 -529 -531 0 0 
144 -316 57 719 -273 6 191 -509 -530 -531 0 0 
145 -318 61 723 -271 6 189 -509 -530 -531 0 0 
146 -318 64 722 -272 4 189 -509 -530 -531 0 0 
147 -320 61 722 -273 2 189 -508 -529 -531 0 0 
148 -316 58 719 -279 -3 191 -509 -529 -530 0 0 
149 -320 63 721 -284 -6 193 -509 -530 -530 0 0 
150 -320 64 721 -286 -9 196 -508 -529 -529 0 0 
151 -318 62 723 -284 -11 201 -508 -528 -528 0 0 
152 -321 69 721 -275 -14 208 -507 -527 -528 0 0 
153 -325 68 718 -273 -14 209 -507 -525 -529 0 0 
154 -323 63 718 -272 -15 208 -507 -523 -528 0 0 
155 -328 74 715 -275 -16 199 -508 -522 -528 0 0 
156 -330 68 717 -277 -16 193 -508 -522 -528 0 0 
157 -331 77 716 -276 -16 184 -508 -522 -527 0 0 
158 -334 75 714 -269 -13 171 -507 -522 -528 0 0 
159 -333 81 713 -265 -11 164 -508 -522 -527 0 0 
160 -333 81 714 -261 -10 158 -508 -522 -527 0 0 
161 -335 77 712 -264 -13 143 -508 -524 -526 0 0 
162 -342 81 715 -267 -15 138 -508 -525 -525 0 0 
163 -341 86 713 -266 -15 131 -506 -527 -524 0 0 
164 -342 84 714 -263 -14 125 -505 -529 -522 0 0 
165 -343 90 712 -258 -12 116 -504 -533 -522 0 0 
166 -340 91 714 -255 -10 114 -503 -536 -521 0 0 
167 -343 94 713 -253 -9 113 -504 -538 -521 0 0 
168 -339 100 714 -252 -7 113 -503 -541 -521 0 0 
169 -339 100 716 -251 -5 115 -503 -545 -521 0 0 
170 -336 103 717 -250 -2 116 -502 -547 -521 0 0 
171 -335 103 720 -249 4 119 -503 -550 -521 0 0 
172 -330 106 721 -251 9 119 -504 -553 -520 0 0 
173 -328 104 721 -253 14 121 -504 -554 -520 0 0 
174 -326 111 726 -257 24 124 -504 -557 -521 0 0 
175 -321 111 726 -261 31 128 -505 -559 -523 0 0 
176 -318 106 730 -282 48 134 -506 -562 -524 0 0 
177 -308 110 730 -384 76 147 -510 -568 -528 0 0 
178 -307 101 735 -429 146 201 -516 -575 -537 0 0 
179 -298 99 738 -380 142 226 -526 -577 -547 0 0 
180 -291 97 739 -263 101 238 -534 -571 -553 0 0 
181 -288 99 742 -136 24 243 -533 -563 -552 0 0 
182 -284 91 743 -163 4 241 -528 -558 -549 0 0 
183 -281 85 744 -230 -2 230 -525 -558 -546 0 0 
184 -276 86 746 -351 25 196 -525 -560 -545 0 0 
185 -272 81 748 -332 24 177 -528 -561 -546 0 0 
186 -266 78 747 -285 5 158 -528 -561 -545 0 0 
187 -262 75 751 -256 -30 148 -526 -561 -542 0 0 
188 -258 75 752 -274 -37 157 -522 -561 -538 0 0 
189 -253 76 756 -294 -38 173 -520 -562 -534 0 0 
190 -250 78 755 -297 -33 213 -519 -562 -532 0 0 
191 -245 75 759 -280 -34 236 -517 -560 -530 0 0 
192 -242 84 757 -261 -38 252 -517 -559 -529 0 0 
193 -237 77 758 -247 -43 266 -514 -556 -527 0 0 
194 -236 81 761 -246 -44 283 -512 -554 -525 0 0 
195 -233 77 765 -250 -44 280 -510 -554 -525 0 0 
196 -229 82 763 -254 -46 270 -509 -554 -524 0 0 
197 -225 81 767 -255 -42 241 -507 -557 -525 0 0 
198 -222 90 766 -255 -39 228 -506 -559 -524 0 0 
199 -214 90 769 -258 -34 219 -505 -561 -525 0 0 
200 -210 90 768 -268 -19 216 -504 -563 -525 0 0 
201 -204 95 772 -269 -10 220 -504 -566 -526 0 0 
202 -202 94 775 -267 -1 229 -505 -566 -527 0 0 
203 -197 100 774 -265 12 251 -506 -565 -527 0 0 
204 -186 99 777 -263 16 261 -507 -563 -529 0 0 
205 -188 101 778 -260 19 269 -508 -563 -529 0 0 
206 -180 96 780 -248 22 271 -510 -562 -529 0 0 
207 -178 98 780 -243 25 266 -511 -563 -530 0 0 
208 -171 96 782 -239 24 257 -513 -564 -531 0 0 
209 -168 97 782 -236 22 249 -515 -565 -531 0 0 
210 -162 98 782 -230 15 234 -517 -569 -532 0 0 
211 -157 93 785 -227 12 230 -519 -570 -532 0 0 
212 -148 93 786 -224 9 228 -521 -572 -533 0 0 
213 -141 93 790 -219 6 232 -521 -573 -534 0 0 
214 -136 93 789 -217 7 236 -522 -574 -533 0 0 
215 -129 90 791 -214 7 239 -522 -574 -534 0 0 
216 -122 86 791 -208 8 241 -523 -574 -534 0 0 
217 -119 86 791 -206 7 240 -523 -574 -534 0 0 
218 -108 76 793 -207 5 237 -523 -576 -534 0 0 
219 -101 78 793 -206 -2 232 -522 -578 -534 0 0 
220 -93 74 797 -202 -6 230 -523 -580 -533 0 0 
221 -88 77 796 -198 -9 231 -522 -582 -533 0 0 
222 -79 77 797 -194 -12 235 -522 -585 -533 0 0 
223 -68 76 797 -187 -15 246 -521 -586 -533 0 0 
224 -59 71 801 -182 -15 252 -520 -588 -532 0 0 
225 -47 78 800 -178 -15 257 -520 -591 -531 0 0 
226 -39 71 801 -172 -15 266 -519 -592 -530 0 0 
227 -27 74 803 -171 -17 268 -519 -595 -530 0 0 
228 -19 72 802 -169 -18 268 -518 -598 -530 0 0 
229 -7 67 799 -163 -16 266 -516 -601 -529 0 0 
230 4 68 799 -160 -13 263 -517 -604 -529 0 0 
231 19 75 801 -159 -10 261 -516 -607 -528 0 0 
232 30 70 801 -162 -7 258 -517 -610 -529 0 0 
233 44 67 800 -163 -7 257 -518 -613 -528 0 0 
234 56 72 798 -162 -7 258 -518 -616 -529 0 0 
235 74 67 795 -157 -6 260 -518 -618 -528 0 0 
236 89 70 795 -142 -2 263 -519 -620 -529 0 0 
237 104 66 789 -138 0 263 -521 -622 -529 0 0 
238 119 65 787 -136 0 262 -521 -624 -529 0 0 
239 134 64 786 -132 2 256 -522 -627 -530 0 0 
240 148 63 782 -125 3 257 -522 -630 -530 0 0 
