% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  02:21:22 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor secured to bottom center of laptop, which is then pushed off the table.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -52 226 621 2 1 352 -517 -535 -530 0 0 
2 -48 219 620 2 1 352 -517 -535 -530 0 0 
3 -46 222 620 2 2 353 -517 -535 -530 0 0 
4 -44 223 619 2 2 353 -517 -535 -530 0 0 
5 -44 223 619 2 2 353 -517 -535 -530 0 0 
6 -49 217 620 2 2 353 -517 -535 -530 0 0 
7 -49 224 619 2 2 353 -517 -535 -530 0 0 
8 -49 226 620 2 2 353 -517 -535 -530 0 0 
9 -48 222 621 2 2 352 -517 -534 -530 0 0 
10 -49 219 622 2 2 353 -517 -535 -530 0 0 
11 -53 225 620 2 2 353 -517 -535 -529 0 0 
12 -51 231 622 2 2 352 -517 -535 -530 0 0 
13 -49 221 620 2 2 352 -517 -535 -530 0 0 
14 -48 217 620 2 2 353 -516 -535 -530 0 0 
15 -51 215 618 2 2 352 -517 -535 -529 0 0 
16 -46 219 621 2 2 353 -517 -535 -530 0 0 
17 -50 215 622 2 2 354 -518 -534 -530 0 0 
18 -50 218 622 2 2 353 -517 -535 -530 0 0 
19 -50 218 621 2 2 353 -517 -534 -530 0 0 
20 -50 219 619 2 2 353 -517 -535 -530 0 0 
21 -50 217 621 2 2 353 -517 -535 -530 0 0 
22 -49 216 621 2 2 354 -517 -534 -530 0 0 
23 -50 221 621 2 2 353 -517 -535 -530 0 0 
24 -45 218 621 2 2 352 -517 -535 -529 0 0 
25 -45 218 621 2 2 353 -517 -535 -530 0 0 
26 -51 220 621 2 2 353 -517 -535 -530 0 0 
27 -44 223 622 2 2 352 -517 -535 -530 0 0 
28 -48 225 622 2 2 352 -517 -535 -530 0 0 
29 -46 221 622 2 2 353 -517 -534 -530 0 0 
30 -47 218 619 2 2 352 -517 -535 -530 0 0 
31 -52 220 623 2 2 353 -517 -534 -530 0 0 
32 -51 223 622 2 2 353 -517 -535 -530 0 0 
33 -44 227 621 2 2 354 -517 -535 -530 0 0 
34 -45 223 619 2 2 353 -517 -535 -530 0 0 
35 -48 226 620 2 2 352 -517 -535 -530 0 0 
36 -49 224 620 2 1 353 -517 -535 -530 0 0 
37 -50 227 622 2 2 353 -517 -534 -530 0 0 
38 -50 221 621 2 2 353 -517 -535 -530 0 0 
39 -45 223 620 2 2 353 -517 -535 -530 0 0 
40 -51 223 619 2 2 353 -517 -534 -530 0 0 
41 -48 221 623 2 2 352 -517 -535 -530 0 0 
42 -50 223 621 2 2 352 -518 -535 -529 0 0 
43 -50 224 623 2 2 354 -517 -535 -530 0 0 
44 -42 225 623 2 2 353 -517 -535 -530 0 0 
45 -49 225 622 2 2 353 -517 -535 -530 0 0 
46 -51 222 621 2 2 353 -517 -535 -530 0 0 
47 -43 219 620 2 2 353 -516 -535 -530 0 0 
48 -50 222 619 2 2 353 -517 -535 -530 0 0 
49 -47 224 621 2 2 353 -517 -534 -530 0 0 
50 -45 226 621 2 2 353 -517 -535 -530 0 0 
