% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor secured to corner of bottom of unit.  Laptop in lap, Unit slide off table.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 611 -86 222 4 14 353 -516 -533 -529 0 0 
2 610 -87 220 3 14 353 -515 -534 -529 0 0 
3 607 -79 220 3 14 353 -516 -534 -529 0 0 
4 607 -88 219 3 14 353 -515 -534 -529 0 0 
5 608 -88 221 4 13 353 -515 -534 -529 0 0 
6 608 -79 221 5 13 353 -515 -534 -530 0 0 
7 608 -86 219 5 14 353 -516 -534 -529 0 0 
8 609 -82 220 4 14 353 -515 -535 -529 0 0 
9 610 -86 219 4 14 352 -515 -533 -529 0 0 
10 606 -87 220 3 14 351 -515 -534 -529 0 0 
11 607 -88 220 3 15 353 -515 -534 -529 0 0 
12 607 -83 221 3 15 353 -515 -535 -529 0 0 
13 606 -84 220 3 14 353 -516 -534 -529 0 0 
14 606 -88 221 3 14 354 -515 -534 -529 0 0 
15 606 -84 220 4 14 354 -516 -533 -529 0 0 
16 607 -83 220 4 14 355 -515 -534 -530 0 0 
17 607 -85 220 4 14 355 -515 -534 -530 0 0 
18 607 -83 220 4 14 354 -515 -534 -530 0 0 
19 609 -86 219 4 14 352 -515 -534 -529 0 0 
20 606 -95 221 4 14 352 -516 -534 -529 0 0 
21 608 -90 221 3 14 352 -516 -533 -529 0 0 
22 607 -87 221 3 14 352 -515 -534 -529 0 0 
23 608 -83 221 3 14 352 -515 -534 -529 0 0 
24 608 -87 221 4 14 354 -515 -534 -529 0 0 
25 607 -83 218 4 14 353 -515 -534 -529 0 0 
26 608 -78 220 4 14 353 -515 -534 -530 0 0 
27 608 -84 219 4 14 354 -514 -534 -529 0 0 
28 608 -81 219 4 14 354 -515 -534 -530 0 0 
29 607 -83 223 4 14 354 -515 -533 -529 0 0 
30 606 -80 217 4 14 354 -515 -534 -529 0 0 
31 607 -84 220 4 15 354 -515 -534 -529 0 0 
32 607 -87 222 4 14 353 -516 -533 -529 0 0 
33 607 -86 219 4 14 353 -516 -534 -529 0 0 
34 609 -84 221 3 14 353 -515 -534 -529 0 0 
35 607 -79 220 4 14 353 -515 -534 -529 0 0 
36 607 -88 221 4 14 353 -516 -534 -529 0 0 
37 606 -88 222 4 14 353 -515 -534 -530 0 0 
38 613 -81 221 4 14 352 -514 -534 -529 0 0 
39 606 -85 219 4 14 353 -515 -534 -529 0 0 
40 608 -84 219 4 14 352 -514 -534 -529 0 0 
41 608 -84 220 4 14 352 -515 -534 -529 0 0 
42 610 -83 222 4 14 353 -515 -534 -529 0 0 
43 608 -83 221 4 14 353 -515 -534 -529 0 0 
44 613 -81 222 4 14 353 -516 -534 -530 0 0 
45 605 -86 221 4 14 354 -515 -534 -530 0 0 
46 607 -85 218 4 14 353 -515 -534 -530 0 0 
47 609 -83 220 4 14 353 -516 -533 -530 0 0 
48 608 -85 219 3 14 353 -516 -534 -528 0 0 
49 608 -87 221 3 14 353 -515 -534 -529 0 0 
50 610 -86 221 4 14 353 -515 -534 -529 0 0 
51 607 -86 220 4 14 353 -515 -533 -530 0 0 
52 608 -89 219 4 14 353 -515 -534 -529 0 0 
53 608 -85 223 4 14 353 -515 -534 -529 0 0 
54 608 -85 219 4 14 352 -515 -534 -529 0 0 
55 606 -86 220 4 14 353 -515 -534 -529 0 0 
56 609 -85 220 4 14 353 -515 -534 -529 0 0 
57 607 -89 220 3 14 353 -515 -534 -529 0 0 
58 605 -86 219 3 14 353 -514 -534 -529 0 0 
59 608 -81 221 4 14 354 -515 -534 -529 0 0 
60 609 -86 220 4 14 353 -515 -533 -529 0 0 
61 607 -81 220 4 14 353 -515 -534 -529 0 0 
62 607 -88 220 4 14 354 -515 -534 -530 0 0 
63 609 -83 221 4 14 353 -516 -534 -530 0 0 
64 610 -87 221 4 14 353 -515 -534 -530 0 0 
65 607 -81 221 4 14 353 -515 -534 -529 0 0 
66 609 -82 219 4 14 353 -515 -535 -529 0 0 
67 610 -87 220 3 14 353 -515 -534 -530 0 0 
68 605 -83 220 3 14 353 -515 -534 -530 0 0 
69 610 -86 221 3 14 353 -515 -534 -529 0 0 
70 609 -85 220 4 14 353 -515 -534 -529 0 0 
71 608 -86 220 4 14 353 -515 -533 -529 0 0 
72 611 -86 221 4 14 353 -515 -534 -529 0 0 
73 606 -83 220 4 14 354 -516 -534 -529 0 0 
74 605 -81 220 4 14 354 -515 -534 -529 0 0 
75 608 -86 218 4 14 354 -515 -534 -529 0 0 
76 606 -82 221 4 14 353 -515 -534 -529 0 0 
77 608 -81 220 3 14 353 -516 -535 -530 0 0 
