% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:50:27 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor strapped to near front center of laptop bottom, which is slid across and off the desk.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 236 265 550 17 2 353 -515 -534 -529 0 0 
2 236 262 550 17 3 353 -515 -534 -529 0 0 
3 233 264 550 17 3 352 -516 -534 -529 0 0 
4 234 268 549 17 3 353 -515 -534 -529 0 0 
5 231 265 549 17 3 354 -515 -534 -529 0 0 
6 237 264 548 17 3 354 -516 -534 -529 0 0 
7 234 268 550 17 3 354 -516 -534 -530 0 0 
8 235 261 549 17 3 353 -515 -534 -530 0 0 
9 233 265 550 17 3 353 -516 -534 -529 0 0 
10 235 260 547 17 3 353 -515 -534 -529 0 0 
11 234 264 549 17 3 353 -516 -535 -529 0 0 
12 234 269 550 17 2 353 -515 -534 -529 0 0 
13 231 263 549 17 3 353 -515 -535 -529 0 0 
14 235 270 550 17 3 354 -515 -535 -529 0 0 
15 234 262 551 17 3 352 -515 -534 -529 0 0 
16 232 264 548 17 3 353 -515 -534 -529 0 0 
17 233 270 551 17 3 353 -516 -534 -529 0 0 
18 234 272 549 17 3 353 -515 -534 -529 0 0 
19 233 264 549 17 3 353 -515 -534 -529 0 0 
20 235 260 550 17 3 353 -516 -534 -529 0 0 
21 233 264 548 17 2 353 -515 -534 -529 0 0 
22 231 263 547 17 2 354 -515 -534 -529 0 0 
23 234 267 549 17 2 353 -515 -534 -529 0 0 
24 234 265 549 17 3 353 -515 -534 -529 0 0 
25 239 269 549 17 3 353 -516 -534 -529 0 0 
26 236 271 548 17 3 353 -515 -534 -529 0 0 
27 235 272 549 17 3 354 -515 -534 -529 0 0 
28 234 271 550 17 3 353 -516 -534 -529 0 0 
29 236 267 551 17 3 352 -515 -534 -529 0 0 
30 231 268 550 17 3 352 -516 -533 -529 0 0 
31 234 268 549 17 2 353 -515 -534 -529 0 0 
32 233 264 550 17 2 353 -515 -534 -529 0 0 
33 233 270 549 17 2 354 -515 -535 -529 0 0 
34 235 266 550 17 3 353 -516 -534 -530 0 0 
35 234 271 549 17 3 354 -515 -534 -529 0 0 
36 231 262 550 17 3 354 -515 -534 -529 0 0 
37 233 266 550 17 3 353 -515 -534 -529 0 0 
38 234 263 550 17 3 353 -516 -534 -529 0 0 
39 232 264 550 17 3 353 -515 -533 -529 0 0 
40 232 269 547 17 3 353 -515 -535 -529 0 0 
41 234 271 549 17 2 353 -515 -534 -529 0 0 
42 234 264 551 17 2 353 -516 -534 -529 0 0 
43 233 268 551 17 2 353 -515 -534 -529 0 0 
44 234 271 550 17 3 353 -515 -534 -529 0 0 
45 234 265 549 17 3 353 -516 -535 -529 0 0 
46 233 265 550 17 3 353 -515 -534 -529 0 0 
47 232 270 549 17 3 353 -516 -534 -529 0 0 
48 235 265 550 17 3 353 -515 -534 -529 0 0 
49 233 269 549 17 3 353 -516 -534 -529 0 0 
50 235 264 549 17 3 353 -515 -534 -528 0 0 
51 231 267 548 17 2 353 -516 -533 -530 0 0 
52 236 267 550 17 3 353 -516 -534 -529 0 0 
53 232 269 549 17 3 354 -515 -534 -529 0 0 
54 233 263 547 17 3 353 -514 -534 -530 0 0 
55 232 271 550 17 3 353 -515 -534 -529 0 0 
56 234 262 551 17 3 353 -515 -533 -530 0 0 
57 234 265 548 17 3 352 -515 -535 -529 0 0 
58 234 265 547 17 3 353 -515 -534 -529 0 0 
59 237 260 547 17 3 353 -515 -534 -529 0 0 
60 233 263 549 17 3 353 -515 -534 -529 0 0 
61 233 263 550 17 3 353 -516 -534 -529 0 0 
62 232 265 548 17 3 353 -515 -534 -529 0 0 
63 232 269 549 17 3 354 -516 -534 -529 0 0 
64 234 260 549 17 3 353 -516 -534 -529 0 0 
65 234 266 548 17 3 353 -515 -534 -529 0 0 
66 237 268 547 17 3 354 -515 -534 -529 0 0 
67 234 269 550 17 3 353 -515 -533 -529 0 0 
68 234 267 550 17 2 353 -515 -534 -529 0 0 
69 234 266 546 17 3 353 -515 -534 -529 0 0 
70 233 260 551 17 3 353 -516 -534 -529 0 0 
71 234 264 551 17 3 353 -515 -534 -529 0 0 
72 234 263 550 17 3 353 -515 -534 -529 0 0 
73 234 261 549 17 3 353 -515 -534 -529 0 0 
74 236 270 550 17 3 353 -516 -534 -528 0 0 
75 232 263 551 17 3 354 -516 -534 -529 0 0 
76 232 265 549 17 3 353 -515 -534 -529 0 0 
77 232 260 549 17 2 354 -515 -534 -530 0 0 
78 233 263 550 17 3 354 -516 -534 -529 0 0 
79 236 263 548 17 3 354 -515 -534 -529 0 0 
80 234 264 549 17 3 353 -515 -533 -529 0 0 
81 236 268 549 17 3 353 -516 -534 -529 0 0 
82 237 268 551 17 3 353 -515 -534 -529 0 0 
83 236 264 548 17 3 353 -515 -535 -529 0 0 
84 233 264 551 17 3 353 -516 -534 -529 0 0 
85 235 264 551 17 3 352 -516 -534 -529 0 0 
86 236 266 550 17 3 353 -515 -534 -530 0 0 
87 234 270 550 17 3 353 -515 -534 -529 0 0 
88 239 264 549 17 3 353 -516 -534 -529 0 0 
89 235 270 548 17 3 354 -515 -535 -529 0 0 
90 231 263 548 17 3 353 -515 -533 -529 0 0 
91 236 259 550 17 2 353 -515 -534 -529 0 0 
92 239 255 549 17 2 353 -515 -534 -529 0 0 
93 234 258 551 17 2 353 -515 -534 -529 0 0 
94 234 260 550 17 3 353 -515 -534 -529 0 0 
95 233 258 548 17 3 353 -516 -534 -529 0 0 
96 234 261 550 17 3 352 -516 -534 -529 0 0 
97 232 258 550 17 3 353 -515 -534 -529 0 0 
98 235 260 548 17 3 353 -515 -533 -530 0 0 
99 235 266 548 17 3 353 -516 -534 -529 0 0 
100 236 262 549 17 3 353 -515 -534 -530 0 0 
101 238 260 549 17 3 353 -515 -534 -529 0 0 
102 234 258 548 17 2 352 -515 -534 -529 0 0 
103 233 263 550 17 2 353 -515 -533 -529 0 0 
104 237 263 549 17 3 353 -515 -534 -529 0 0 
105 234 262 550 17 3 354 -515 -534 -529 0 0 
106 236 261 549 17 3 354 -515 -533 -529 0 0 
107 236 265 550 17 3 353 -515 -534 -528 0 0 
108 236 260 549 17 3 353 -515 -534 -529 0 0 
109 235 264 549 17 3 353 -515 -534 -529 0 0 
110 236 263 550 17 3 353 -515 -534 -529 0 0 
111 232 267 548 17 3 353 -516 -534 -529 0 0 
112 234 273 550 17 2 354 -515 -534 -529 0 0 
113 234 268 549 17 3 353 -515 -534 -529 0 0 
114 232 265 547 17 3 353 -515 -533 -529 0 0 
115 234 268 549 17 3 353 -515 -534 -529 0 0 
116 235 266 549 17 3 353 -516 -534 -530 0 0 
117 234 274 548 17 3 353 -515 -534 -529 0 0 
118 233 259 548 17 3 353 -515 -534 -529 0 0 
119 232 266 549 17 3 353 -515 -534 -529 0 0 
120 235 265 549 17 3 353 -515 -534 -529 0 0 
121 233 264 550 17 3 354 -515 -534 -529 0 0 
122 239 263 550 17 2 353 -515 -535 -529 0 0 
123 236 255 549 17 3 353 -515 -534 -529 0 0 
124 233 263 550 17 3 353 -516 -534 -529 0 0 
125 241 268 550 17 3 353 -516 -534 -529 0 0 
126 233 270 548 17 3 353 -516 -534 -529 0 0 
127 235 270 548 17 3 353 -515 -534 -529 0 0 
128 235 261 550 17 3 352 -515 -534 -529 0 0 
129 235 264 551 17 3 353 -515 -534 -529 0 0 
130 235 269 547 17 3 354 -515 -534 -529 0 0 
131 231 266 549 17 3 354 -515 -534 -529 0 0 
132 231 266 549 17 3 354 -515 -534 -529 0 0 
133 233 268 547 17 3 353 -516 -534 -529 0 0 
134 233 267 547 17 3 354 -515 -534 -529 0 0 
135 236 258 549 17 3 353 -515 -534 -529 0 0 
136 235 259 549 17 3 353 -515 -534 -529 0 0 
137 236 262 548 17 3 352 -515 -534 -529 0 0 
138 233 267 550 17 3 353 -515 -534 -529 0 0 
139 233 267 549 17 3 354 -515 -534 -529 0 0 
140 235 269 549 17 3 353 -516 -534 -529 0 0 
141 234 262 550 17 3 353 -516 -534 -530 0 0 
142 236 265 548 17 3 353 -516 -534 -530 0 0 
143 238 270 548 17 3 353 -516 -534 -529 0 0 
144 233 265 546 17 3 353 -516 -534 -529 0 0 
145 234 269 548 17 3 353 -515 -534 -529 0 0 
146 234 262 549 17 3 353 -515 -535 -529 0 0 
147 233 266 548 17 3 354 -516 -535 -529 0 0 
148 232 259 549 17 2 353 -516 -534 -529 0 0 
149 235 256 550 17 3 353 -516 -535 -529 0 0 
150 234 268 549 17 3 354 -516 -534 -529 0 0 
151 234 268 548 17 3 353 -515 -534 -529 0 0 
152 237 265 549 17 3 353 -515 -534 -529 0 0 
153 232 266 549 17 3 353 -515 -534 -529 0 0 
154 236 263 548 17 3 354 -515 -534 -529 0 0 
