% Mike Stanley's IMU Data Logger
% Date & Time   Monday 14 February 2011  -  12:32:29 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      In this test, the sensor is being held stationary in left hand to simulate the case of a person studying a phone display.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -566 -10 290 -153 1 314 -521 -536 -529 0 0 
2 -561 -16 291 -154 3 310 -521 -534 -529 0 0 
3 -565 -23 289 -153 3 307 -518 -534 -529 0 0 
4 -561 -19 289 -157 4 303 -517 -535 -529 0 0 
5 -566 -18 292 -156 11 300 -516 -536 -529 0 0 
6 -561 -19 291 -159 11 303 -516 -537 -530 0 0 
7 -564 -13 291 -159 11 307 -517 -537 -531 0 0 
8 -565 -16 289 -157 8 313 -517 -537 -530 0 0 
9 -560 -17 293 -157 6 317 -517 -537 -531 0 0 
10 -562 -18 293 -157 5 321 -518 -535 -531 0 0 
11 -563 -18 292 -156 2 326 -517 -535 -530 0 0 
12 -561 -23 294 -157 4 324 -517 -534 -529 0 0 
13 -563 -18 291 -157 5 324 -516 -533 -530 0 0 
14 -563 -22 289 -155 0 321 -517 -532 -529 0 0 
15 -564 -20 291 -156 2 315 -516 -532 -528 0 0 
16 -561 -21 290 -157 6 309 -515 -533 -528 0 0 
17 -565 -16 291 -161 15 306 -515 -533 -528 0 0 
18 -562 -12 291 -162 17 305 -515 -535 -530 0 0 
19 -564 -15 290 -162 18 303 -517 -538 -531 0 0 
20 -564 -15 289 -162 15 308 -518 -536 -532 0 0 
21 -564 -18 290 -160 3 314 -518 -535 -531 0 0 
22 -567 -23 290 -157 4 314 -517 -535 -529 0 0 
23 -565 -23 290 -156 4 315 -517 -534 -529 0 0 
24 -561 -26 291 -158 8 316 -516 -534 -529 0 0 
25 -564 -20 291 -158 8 314 -518 -535 -530 0 0 
26 -564 -23 293 -157 7 315 -518 -535 -530 0 0 
27 -564 -19 291 -156 5 317 -518 -534 -529 0 0 
28 -565 -24 289 -157 6 316 -516 -534 -529 0 0 
29 -560 -22 291 -159 11 314 -515 -534 -529 0 0 
30 -562 -20 290 -161 16 317 -515 -534 -530 0 0 
31 -562 -17 289 -161 14 316 -514 -534 -530 0 0 
32 -562 -14 290 -161 12 315 -515 -534 -531 0 0 
33 -564 -23 290 -159 8 313 -515 -535 -531 0 0 
34 -565 -14 292 -158 6 313 -516 -535 -531 0 0 
35 -564 -23 289 -157 3 315 -516 -535 -530 0 0 
36 -563 -17 290 -157 2 315 -517 -535 -531 0 0 
37 -564 -17 291 -156 2 316 -517 -534 -530 0 0 
38 -565 -17 290 -157 4 317 -517 -534 -530 0 0 
39 -564 -21 292 -157 5 315 -518 -535 -530 0 0 
40 -563 -18 291 -156 4 315 -519 -536 -529 0 0 
41 -565 -19 291 -156 3 314 -519 -535 -529 0 0 
42 -565 -20 291 -157 4 314 -518 -534 -529 0 0 
43 -564 -13 292 -159 9 315 -516 -534 -530 0 0 
44 -560 -15 289 -160 11 317 -515 -534 -529 0 0 
45 -564 -19 292 -160 11 319 -515 -533 -530 0 0 
46 -563 -19 290 -158 4 318 -516 -534 -530 0 0 
47 -567 -16 290 -157 2 317 -516 -533 -530 0 0 
48 -561 -20 291 -156 2 317 -517 -532 -530 0 0 
49 -564 -17 290 -159 9 310 -517 -534 -529 0 0 
50 -562 -19 291 -160 12 310 -516 -534 -530 0 0 
51 -560 -19 288 -160 12 310 -518 -535 -530 0 0 
52 -563 -19 288 -159 9 309 -518 -536 -530 0 0 
53 -565 -15 291 -158 4 309 -518 -534 -530 0 0 
54 -564 -21 291 -158 3 311 -517 -533 -530 0 0 
55 -566 -23 290 -157 4 309 -515 -534 -529 0 0 
56 -564 -20 290 -157 6 311 -515 -533 -530 0 0 
57 -566 -17 290 -157 5 313 -514 -533 -529 0 0 
58 -566 -15 290 -156 4 313 -513 -533 -529 0 0 
59 -567 -17 290 -156 4 310 -514 -534 -529 0 0 
60 -564 -20 289 -156 6 311 -514 -534 -529 0 0 
61 -565 -13 288 -156 7 313 -516 -535 -529 0 0 
62 -566 -11 288 -156 7 313 -517 -536 -529 0 0 
63 -561 -14 290 -156 6 316 -518 -536 -530 0 0 
64 -567 -17 291 -156 3 321 -519 -536 -530 0 0 
65 -565 -13 289 -157 2 324 -519 -535 -529 0 0 
66 -565 -22 290 -158 4 324 -518 -534 -528 0 0 
67 -565 -18 289 -159 6 323 -518 -532 -527 0 0 
68 -565 -16 290 -160 8 319 -517 -533 -528 0 0 
69 -564 -13 289 -161 11 312 -515 -533 -528 0 0 
