% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor in left front jean's pocket.  Walked 85 feed straight down hallway.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 672 -211 440 601 -123 55 -693 -665 -567 0 0 
2 681 -231 412 583 -125 55 -720 -659 -548 0 0 
3 693 -241 387 554 -116 47 -717 -651 -537 0 0 
4 704 -253 362 501 -108 39 -697 -640 -538 0 0 
5 713 -268 340 384 -128 23 -682 -625 -538 0 0 
6 716 -284 318 316 -142 8 -672 -613 -529 0 0 
7 725 -296 288 245 -148 -18 -664 -629 -517 0 0 
8 740 -302 251 201 -176 -84 -669 -663 -516 0 0 
9 744 -321 213 203 -183 -99 -686 -682 -531 0 0 
10 751 -322 174 190 -192 -99 -703 -683 -542 0 0 
11 760 -320 140 160 -171 -91 -713 -667 -548 0 0 
12 763 -322 114 152 -149 -88 -716 -642 -560 0 0 
13 771 -323 88 159 -135 -91 -702 -626 -571 0 0 
14 780 -313 70 195 -80 -81 -670 -623 -570 0 0 
15 780 -312 55 204 -38 -58 -618 -626 -560 0 0 
16 779 -310 44 208 -4 -33 -546 -627 -547 0 0 
17 781 -310 32 225 4 40 -483 -629 -537 0 0 
18 786 -314 26 226 -6 62 -443 -627 -533 0 0 
19 782 -309 19 226 -8 76 -411 -625 -533 0 0 
20 785 -304 18 228 -3 91 -376 -617 -535 0 0 
21 782 -307 15 223 -1 117 -348 -607 -534 0 0 
22 785 -305 12 230 -4 123 -347 -601 -529 0 0 
23 782 -311 4 243 -4 131 -376 -598 -524 0 0 
24 784 -306 -4 289 15 157 -419 -596 -521 0 0 
25 783 -304 -13 322 32 173 -458 -589 -522 0 0 
26 787 -307 -21 367 46 188 -478 -577 -532 0 0 
27 790 -300 -23 453 34 175 -490 -560 -550 0 0 
28 791 -294 -24 505 12 162 -512 -545 -569 0 0 
29 799 -286 -22 556 -26 155 -534 -529 -575 0 0 
30 793 -282 -13 624 -68 175 -530 -511 -567 0 0 
31 798 -280 1 621 -87 192 -495 -491 -558 0 0 
32 801 -274 21 584 -99 208 -447 -475 -557 0 0 
33 804 -264 45 534 -109 155 -399 -476 -555 0 0 
34 803 -255 81 510 -95 81 -333 -476 -558 0 0 
35 804 -236 124 461 -127 104 -212 -444 -556 0 0 
36 811 -210 170 426 -132 232 -107 -379 -571 0 0 
37 801 -187 204 614 -36 665 -134 -339 -601 0 0 
38 796 -194 235 651 74 530 -322 -347 -624 0 0 
39 790 -198 255 590 -5 306 -513 -350 -601 0 0 
40 788 -225 276 535 -161 -22 -657 -346 -557 0 0 
41 771 -241 291 575 -165 -98 -757 -356 -531 0 0 
42 759 -267 302 628 -137 -143 -797 -366 -510 0 0 
43 749 -291 320 600 -93 -197 -800 -376 -498 0 0 
44 736 -300 338 603 -15 -253 -760 -374 -492 0 0 
45 727 -310 362 617 60 -254 -686 -361 -503 0 0 
46 721 -302 390 641 146 -123 -647 -360 -528 0 0 
47 705 -289 427 721 188 -133 -589 -373 -548 0 0 
