% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor strapped to belt (left side).  Walked 85 feed straight down hallway
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -760 121 124 -215 -20 48 -538 -552 -538 0 0 
2 -760 119 126 -230 -24 45 -542 -556 -536 0 0 
3 -763 119 132 -264 -39 41 -543 -555 -535 0 0 
4 -762 116 131 -344 -71 22 -541 -549 -536 0 0 
5 -763 123 131 -393 -71 18 -535 -542 -537 0 0 
6 -763 109 133 -446 -80 13 -526 -544 -538 0 0 
7 -766 115 139 -495 -103 10 -521 -550 -534 0 0 
8 -764 118 144 -482 -132 29 -523 -556 -530 0 0 
9 -766 113 146 -441 -165 25 -535 -558 -530 0 0 
10 -761 112 147 -368 -198 20 -552 -548 -533 0 0 
11 -766 112 143 -369 -157 28 -548 -533 -532 0 0 
12 -767 120 139 -362 -76 27 -526 -520 -525 0 0 
13 -770 116 138 -368 13 85 -502 -520 -516 0 0 
14 -770 122 139 -414 -88 132 -499 -532 -507 0 0 
15 -769 125 140 -518 -263 156 -521 -548 -502 0 0 
16 -770 132 144 -573 -460 -43 -546 -541 -501 0 0 
17 -770 130 147 -617 -377 -145 -549 -542 -495 0 0 
18 -765 122 159 -630 -321 -229 -542 -563 -512 0 0 
19 -767 119 165 -625 -367 -302 -525 -590 -543 0 0 
20 -770 111 176 -371 -429 -123 -508 -584 -558 0 0 
21 -770 111 178 -243 -369 19 -491 -571 -557 0 0 
22 -767 109 179 -187 -325 168 -480 -550 -543 0 0 
23 -773 118 174 -160 -312 288 -471 -535 -534 0 0 
24 -773 120 171 -176 -289 281 -469 -523 -528 0 0 
25 -773 122 167 -220 -242 261 -473 -519 -523 0 0 
26 -775 117 163 -342 -125 171 -479 -516 -521 0 0 
27 -774 124 159 -385 -67 112 -490 -515 -521 0 0 
28 -778 125 156 -405 -21 49 -501 -515 -523 0 0 
29 -780 125 156 -402 -15 -16 -512 -517 -527 0 0 
30 -775 116 155 -399 -46 -34 -519 -522 -530 0 0 
31 -780 120 153 -405 -73 -46 -522 -527 -532 0 0 
32 -784 120 154 -410 -82 -54 -524 -531 -533 0 0 
33 -784 116 154 -398 -91 -58 -527 -532 -533 0 0 
34 -782 114 152 -380 -100 -42 -530 -527 -535 0 0 
35 -785 114 149 -361 -117 -24 -532 -523 -536 0 0 
36 -786 117 146 -314 -154 -11 -530 -520 -536 0 0 
37 -787 113 145 -283 -158 -1 -527 -518 -536 0 0 
38 -789 113 141 -258 -150 10 -523 -516 -534 0 0 
39 -793 110 137 -213 -131 22 -521 -515 -533 0 0 
40 -792 111 135 -192 -128 29 -519 -514 -532 0 0 
41 -794 102 130 -176 -120 31 -517 -513 -530 0 0 
42 -792 109 126 -157 -100 29 -516 -511 -530 0 0 
43 -795 107 123 -158 -95 24 -515 -510 -530 0 0 
44 -796 107 116 -162 -90 15 -515 -510 -529 0 0 
45 -796 102 111 -161 -75 10 -515 -511 -530 0 0 
46 -793 102 109 -164 -83 8 -515 -513 -531 0 0 
47 -800 99 103 -174 -100 6 -514 -514 -533 0 0 
48 -799 100 102 -188 -111 0 -512 -516 -535 0 0 
49 -802 100 98 -214 -112 -14 -511 -519 -536 0 0 
50 -801 95 94 -223 -104 -17 -509 -522 -538 0 0 
51 -803 92 94 -231 -98 -19 -508 -524 -541 0 0 
52 -803 94 94 -246 -82 -20 -505 -528 -543 0 0 
53 -800 88 93 -256 -78 -17 -506 -531 -545 0 0 
54 -800 80 94 -263 -77 -14 -506 -535 -546 0 0 
55 -806 81 94 -260 -63 -24 -507 -538 -549 0 0 
56 -803 75 93 -262 -61 -28 -508 -540 -549 0 0 
57 -807 64 95 -267 -60 -29 -507 -544 -550 0 0 
58 -807 56 98 -282 -87 -23 -506 -546 -550 0 0 
59 -806 58 100 -290 -110 -21 -503 -550 -549 0 0 
60 -806 55 104 -302 -111 -17 -498 -553 -546 0 0 
61 -801 50 106 -300 -107 -16 -498 -554 -543 0 0 
62 -806 54 106 -292 -108 -14 -499 -551 -539 0 0 
63 -807 55 108 -294 -116 -7 -499 -547 -537 0 0 
64 -806 45 110 -308 -137 3 -495 -543 -535 0 0 
65 -807 48 111 -355 -166 31 -491 -540 -535 0 0 
66 -807 48 110 -365 -180 35 -490 -540 -533 0 0 
67 -804 51 110 -360 -166 23 -491 -538 -531 0 0 
68 -806 49 112 -347 -72 26 -494 -540 -527 0 0 
69 -808 59 112 -340 -17 26 -502 -542 -523 0 0 
70 -807 50 113 -318 -11 7 -512 -540 -519 0 0 
71 -808 58 112 -333 -162 15 -511 -535 -516 0 0 
72 -808 64 111 -364 -250 41 -502 -532 -511 0 0 
73 -805 63 107 -385 -293 73 -499 -527 -506 0 0 
74 -807 64 105 -388 -221 104 -506 -519 -505 0 0 
75 -807 69 99 -378 -201 105 -519 -513 -506 0 0 
76 -807 76 93 -370 -213 109 -529 -509 -507 0 0 
77 -805 90 87 -361 -212 105 -534 -508 -507 0 0 
78 -810 92 85 -405 -201 16 -540 -513 -504 0 0 
79 -806 93 83 -416 -204 -41 -543 -519 -500 0 0 
80 -808 100 81 -412 -217 -52 -539 -521 -498 0 0 
81 -811 102 78 -466 -260 -26 -531 -522 -500 0 0 
82 -809 105 76 -514 -292 -15 -517 -524 -507 0 0 
83 -807 103 75 -560 -315 -4 -505 -530 -513 0 0 
84 -810 112 79 -553 -299 10 -495 -539 -517 0 0 
85 -807 110 83 -544 -273 32 -492 -548 -518 0 0 
86 -810 110 87 -521 -236 61 -494 -553 -518 0 0 
87 -804 119 88 -436 -151 110 -498 -549 -522 0 0 
88 -809 112 90 -400 -130 104 -505 -544 -526 0 0 
