% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor strapped to belt (center rear).  Walked 85 feed straight down hallway
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -731 92 -122 -319 45 81 -508 -518 -532 0 0 
2 -734 92 -124 -298 24 103 -506 -517 -530 0 0 
3 -732 99 -125 -335 -16 133 -501 -522 -531 0 0 
4 -733 97 -128 -386 -42 202 -500 -524 -536 0 0 
5 -733 84 -130 -451 -16 294 -513 -516 -541 0 0 
6 -730 85 -129 -589 134 350 -531 -516 -546 0 0 
7 -734 81 -129 -577 167 272 -540 -529 -549 0 0 
8 -733 81 -130 -489 168 208 -536 -533 -551 0 0 
9 -737 74 -130 -309 146 210 -528 -528 -550 0 0 
10 -735 71 -132 -288 112 179 -519 -528 -550 0 0 
11 -735 69 -131 -275 44 136 -512 -529 -549 0 0 
12 -737 60 -130 -294 -75 135 -510 -532 -549 0 0 
13 -736 57 -132 -336 -104 168 -509 -530 -548 0 0 
14 -736 54 -128 -411 -125 196 -509 -532 -546 0 0 
15 -737 57 -130 -483 -163 182 -512 -538 -540 0 0 
16 -738 53 -127 -489 -155 192 -515 -536 -536 0 0 
17 -741 59 -127 -524 -116 207 -517 -538 -532 0 0 
18 -737 59 -125 -483 24 160 -516 -541 -527 0 0 
19 -738 64 -122 -439 89 153 -513 -544 -524 0 0 
20 -741 62 -121 -395 112 155 -511 -542 -524 0 0 
21 -741 55 -118 -374 109 162 -509 -543 -526 0 0 
22 -742 61 -116 -374 68 146 -510 -543 -527 0 0 
23 -743 58 -117 -361 47 141 -512 -543 -526 0 0 
24 -743 63 -112 -345 35 136 -514 -543 -526 0 0 
25 -743 63 -111 -315 29 130 -516 -542 -526 0 0 
26 -743 64 -112 -304 27 126 -518 -540 -525 0 0 
27 -747 67 -109 -287 34 115 -519 -538 -525 0 0 
28 -743 70 -109 -263 41 106 -521 -537 -524 0 0 
29 -747 70 -109 -254 38 103 -523 -536 -523 0 0 
30 -749 73 -104 -233 40 96 -524 -536 -523 0 0 
31 -747 73 -105 -222 45 88 -524 -537 -522 0 0 
32 -746 72 -103 -218 47 88 -524 -537 -522 0 0 
33 -747 72 -104 -213 47 89 -525 -536 -521 0 0 
34 -747 78 -103 -214 45 87 -525 -535 -522 0 0 
35 -749 81 -101 -223 42 78 -525 -538 -521 0 0 
36 -748 86 -98 -230 41 71 -526 -538 -522 0 0 
37 -750 84 -97 -227 40 66 -527 -542 -522 0 0 
38 -750 85 -95 -225 41 56 -528 -543 -523 0 0 
39 -750 80 -91 -220 40 54 -529 -544 -524 0 0 
40 -752 83 -90 -214 37 54 -530 -544 -525 0 0 
