% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 24 February 2011  -  01:20:09 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Sensor strapped to shoe with shoelaces.  Walked 85 feed straight down hallway
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -671 157 373 194 -270 623 -587 -591 -443 0 0 
2 -666 164 386 347 -418 521 -578 -602 -450 0 0 
3 -654 178 400 260 -439 464 -551 -616 -454 0 0 
4 -647 181 420 96 -296 443 -531 -631 -465 0 0 
5 -637 189 436 68 -251 413 -520 -648 -479 0 0 
6 -625 192 461 59 -229 378 -514 -665 -496 0 0 
7 -611 194 480 59 -157 352 -511 -680 -512 0 0 
8 -598 188 507 41 -122 343 -514 -690 -527 0 0 
9 -584 185 531 16 -94 333 -519 -699 -539 0 0 
10 -564 182 555 -10 -64 322 -526 -706 -547 0 0 
11 -544 173 581 -26 -49 307 -534 -713 -552 0 0 
12 -525 169 609 -47 -39 299 -541 -718 -556 0 0 
13 -504 162 633 -71 -34 294 -548 -722 -555 0 0 
14 -478 146 657 -131 -16 291 -555 -727 -553 0 0 
15 -451 144 678 -161 -6 290 -560 -730 -550 0 0 
16 -424 134 701 -188 1 291 -565 -734 -547 0 0 
17 -394 128 723 -242 7 297 -570 -738 -544 0 0 
18 -364 110 742 -259 15 303 -574 -741 -540 0 0 
19 -332 105 759 -268 30 310 -578 -743 -537 0 0 
20 -295 91 775 -288 70 332 -586 -741 -536 0 0 
21 -263 66 789 -300 84 350 -595 -740 -536 0 0 
22 -228 49 801 -321 81 368 -604 -738 -538 0 0 
23 -197 33 813 -358 82 401 -611 -737 -541 0 0 
24 -165 15 819 -371 86 425 -617 -736 -547 0 0 
25 -130 -7 825 -383 96 459 -621 -732 -554 0 0 
26 -95 -23 830 -402 123 500 -625 -733 -561 0 0 
27 -58 -43 833 -537 145 556 -630 -737 -568 0 0 
28 -17 -70 832 -644 140 564 -638 -748 -573 0 0 
