% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor in left front jeans pocket (I am seated)
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -384 613 300 -15 330 -85 -517 -534 -529 0 0 
2 -382 608 298 -16 330 -86 -517 -535 -529 0 0 
3 -384 611 299 -17 330 -86 -517 -534 -529 0 0 
4 -383 605 300 -18 330 -85 -516 -535 -529 0 0 
5 -384 603 298 -19 330 -85 -517 -534 -529 0 0 
6 -382 601 301 -19 330 -85 -516 -535 -529 0 0 
7 -383 602 300 -19 329 -86 -516 -535 -529 0 0 
8 -383 601 299 -18 329 -86 -516 -534 -529 0 0 
9 -386 606 301 -18 328 -86 -516 -535 -529 0 0 
10 -384 600 300 -17 328 -86 -516 -535 -529 0 0 
11 -384 604 302 -17 328 -86 -517 -535 -528 0 0 
12 -382 609 302 -17 329 -85 -517 -535 -528 0 0 
13 -383 605 300 -17 329 -86 -518 -535 -528 0 0 
14 -382 608 301 -17 329 -86 -518 -535 -528 0 0 
15 -381 608 301 -16 329 -86 -518 -536 -528 0 0 
16 -383 609 303 -16 329 -86 -519 -535 -528 0 0 
17 -383 611 303 -15 329 -86 -519 -536 -528 0 0 
18 -383 606 303 -12 330 -83 -519 -536 -528 0 0 
19 -381 607 304 -11 330 -82 -520 -536 -529 0 0 
20 -382 609 304 -10 330 -79 -519 -536 -529 0 0 
21 -379 606 303 -8 332 -80 -520 -535 -529 0 0 
22 -376 592 305 -7 331 -79 -520 -536 -528 0 0 
23 -381 610 304 -6 331 -78 -520 -536 -529 0 0 
24 -381 605 306 -4 333 -76 -520 -535 -529 0 0 
25 -377 611 305 -4 333 -75 -520 -535 -529 0 0 
26 -381 607 306 -3 334 -74 -519 -536 -529 0 0 
27 -380 603 308 -3 335 -75 -519 -535 -529 0 0 
28 -376 609 308 -2 334 -74 -518 -535 -529 0 0 
29 -381 603 305 -3 334 -74 -518 -535 -529 0 0 
30 -383 604 307 -3 333 -74 -517 -535 -529 0 0 
31 -379 605 308 -3 333 -74 -518 -535 -529 0 0 
32 -374 603 307 -3 333 -74 -517 -535 -529 0 0 
33 -379 606 309 -2 333 -74 -517 -535 -529 0 0 
34 -380 606 309 -2 335 -73 -517 -535 -529 0 0 
35 -382 609 307 -2 336 -73 -518 -536 -529 0 0 
36 -380 608 310 -2 337 -74 -517 -536 -530 0 0 
37 -381 604 309 -4 338 -74 -516 -536 -530 0 0 
38 -380 599 307 -4 338 -74 -516 -535 -530 0 0 
39 -381 601 308 -5 337 -74 -517 -536 -530 0 0 
40 -380 607 310 -7 336 -75 -517 -535 -530 0 0 
41 -380 611 309 -8 335 -74 -517 -535 -530 0 0 
42 -375 607 311 -9 334 -73 -516 -535 -531 0 0 
43 -383 606 311 -13 331 -72 -516 -535 -531 0 0 
44 -380 608 310 -14 331 -72 -517 -535 -531 0 0 
45 -376 601 312 -15 331 -73 -516 -536 -531 0 0 
46 -382 605 313 -16 331 -73 -516 -535 -531 0 0 
47 -384 604 310 -16 332 -76 -518 -536 -531 0 0 
48 -383 604 313 -17 332 -74 -517 -536 -531 0 0 
49 -381 603 311 -17 333 -74 -518 -535 -531 0 0 
50 -381 608 310 -16 334 -74 -518 -536 -531 0 0 
51 -384 604 314 -17 333 -75 -518 -535 -531 0 0 
52 -383 603 312 -16 334 -73 -518 -535 -531 0 0 
53 -380 603 312 -15 335 -72 -519 -536 -531 0 0 
54 -384 601 313 -15 335 -71 -517 -535 -531 0 0 
55 -382 604 313 -15 335 -70 -518 -535 -530 0 0 
56 -385 604 315 -14 334 -70 -518 -536 -531 0 0 
57 -381 604 313 -14 333 -70 -518 -535 -531 0 0 
58 -383 602 313 -15 333 -69 -518 -535 -531 0 0 
59 -383 602 314 -11 335 -67 -517 -535 -531 0 0 
60 -383 604 314 -12 333 -67 -517 -535 -531 0 0 
61 -383 605 315 -12 330 -69 -517 -535 -532 0 0 
62 -384 604 316 -9 334 -67 -517 -535 -532 0 0 
63 -384 605 313 -8 331 -68 -517 -535 -532 0 0 
64 -385 603 315 -7 332 -68 -517 -535 -532 0 0 
65 -384 599 315 -7 332 -69 -516 -535 -533 0 0 
66 -386 605 316 -8 332 -69 -517 -535 -533 0 0 
67 -386 602 316 -7 331 -70 -516 -535 -534 0 0 
68 -388 598 314 -7 331 -69 -516 -534 -533 0 0 
69 -385 600 317 -7 332 -69 -516 -534 -533 0 0 
70 -383 600 316 -7 331 -69 -516 -534 -534 0 0 
71 -389 602 316 -8 332 -69 -516 -535 -534 0 0 
72 -384 600 316 -8 332 -70 -516 -534 -534 0 0 
73 -390 597 316 -8 331 -71 -515 -535 -534 0 0 
74 -389 599 317 -9 333 -70 -516 -534 -535 0 0 
75 -391 598 314 -10 333 -71 -515 -534 -534 0 0 
76 -389 600 316 -12 335 -71 -515 -535 -535 0 0 
77 -393 600 316 -12 335 -71 -515 -534 -535 0 0 
78 -391 605 315 -13 336 -71 -514 -534 -535 0 0 
79 -394 600 316 -14 336 -71 -514 -535 -535 0 0 
80 -397 604 315 -15 336 -72 -513 -535 -535 0 0 
81 -396 604 314 -17 336 -72 -513 -534 -535 0 0 
82 -394 594 316 -17 336 -72 -513 -535 -535 0 0 
83 -398 591 316 -17 336 -71 -514 -534 -535 0 0 
84 -399 601 314 -19 335 -73 -513 -534 -535 0 0 
85 -399 596 316 -19 335 -74 -513 -535 -535 0 0 
86 -400 600 314 -18 336 -74 -513 -535 -535 0 0 
87 -400 592 315 -18 334 -74 -513 -535 -535 0 0 
88 -400 589 315 -18 333 -75 -513 -535 -535 0 0 
89 -401 589 314 -19 332 -77 -513 -535 -535 0 0 
90 -400 592 313 -20 331 -78 -513 -535 -535 0 0 
91 -403 587 314 -22 326 -80 -512 -534 -535 0 0 
