% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor shaked
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -319 -339 500 -281 -30 194 -517 -535 -529 0 0 
2 -320 -337 502 -280 -28 194 -516 -536 -529 0 0 
3 -320 -343 502 -280 -29 194 -516 -536 -528 0 0 
4 -318 -344 503 -281 -28 194 -516 -536 -529 0 0 
5 -319 -337 502 -283 -26 197 -516 -536 -529 0 0 
6 -322 -341 502 -283 -26 198 -515 -535 -529 0 0 
7 -319 -338 503 -283 -26 198 -516 -536 -529 0 0 
8 -319 -338 499 -283 -25 197 -516 -536 -529 0 0 
9 -320 -341 502 -283 -27 199 -517 -536 -530 0 0 
10 -315 -340 502 -284 -30 201 -517 -535 -530 0 0 
11 -316 -345 503 -283 -33 200 -517 -535 -530 0 0 
12 -319 -343 502 -282 -34 199 -518 -535 -530 0 0 
13 -320 -340 503 -281 -35 197 -518 -535 -530 0 0 
14 -319 -343 501 -282 -35 196 -517 -535 -530 0 0 
15 -319 -340 503 -282 -35 194 -516 -536 -530 0 0 
16 -316 -342 501 -281 -35 193 -516 -536 -529 0 0 
17 -317 -338 503 -282 -34 192 -515 -536 -528 0 0 
18 -316 -341 504 -281 -33 193 -515 -536 -528 0 0 
19 -316 -342 504 -282 -32 195 -516 -537 -528 0 0 
20 -317 -342 503 -283 -31 200 -518 -536 -528 0 0 
21 -319 -338 504 -286 -28 208 -518 -536 -530 0 0 
22 -315 -343 503 -287 -28 209 -518 -535 -529 0 0 
23 -322 -337 503 -286 -29 209 -517 -533 -529 0 0 
24 -319 -342 503 -286 -30 204 -516 -533 -529 0 0 
25 -316 -343 504 -285 -30 201 -515 -534 -529 0 0 
26 -315 -343 502 -285 -30 197 -516 -534 -529 0 0 
27 -314 -339 503 -284 -30 193 -515 -535 -529 0 0 
28 -319 -339 502 -283 -31 192 -516 -534 -530 0 0 
29 -316 -338 503 -283 -31 193 -516 -535 -529 0 0 
30 -316 -342 504 -282 -32 192 -516 -535 -529 0 0 
31 -317 -341 503 -281 -32 192 -515 -536 -529 0 0 
32 -320 -344 504 -280 -32 193 -515 -534 -529 0 0 
33 -317 -342 507 -281 -33 194 -515 -536 -529 0 0 
34 -317 -336 504 -280 -33 195 -515 -535 -529 0 0 
35 -315 -337 500 -280 -32 196 -515 -535 -529 0 0 
36 -315 -344 506 -281 -31 197 -515 -535 -529 0 0 
37 -314 -343 506 -281 -32 197 -516 -535 -529 0 0 
38 -316 -339 504 -281 -30 197 -517 -534 -529 0 0 
39 -319 -343 503 -282 -29 199 -517 -535 -529 0 0 
40 -315 -345 504 -284 -29 205 -517 -533 -529 0 0 
41 -319 -339 505 -284 -29 204 -516 -534 -528 0 0 
42 -315 -342 505 -282 -28 201 -514 -534 -528 0 0 
43 -315 -342 505 -280 -27 194 -514 -534 -529 0 0 
44 -317 -340 503 -280 -27 192 -513 -533 -528 0 0 
45 -318 -338 503 -280 -26 190 -514 -534 -529 0 0 
46 -315 -337 504 -279 -23 191 -515 -536 -529 0 0 
47 -316 -338 504 -281 -24 195 -516 -536 -530 0 0 
48 -314 -335 505 -282 -26 200 -517 -535 -531 0 0 
49 -313 -342 503 -283 -28 204 -516 -535 -530 0 0 
50 -316 -338 504 -281 -32 203 -516 -534 -529 0 0 
51 -314 -336 506 -281 -33 200 -515 -534 -530 0 0 
52 -317 -339 505 -280 -33 198 -515 -534 -529 0 0 
53 -316 -339 506 -281 -31 197 -515 -534 -529 0 0 
54 -316 -340 503 -282 -30 198 -515 -534 -529 0 0 
55 -316 -343 503 -281 -30 200 -515 -534 -530 0 0 
56 -315 -342 503 -282 -31 204 -516 -534 -529 0 0 
57 -317 -344 503 -283 -30 205 -516 -535 -529 0 0 
58 -318 -337 503 -284 -28 205 -516 -534 -529 0 0 
59 -315 -338 505 -283 -30 202 -515 -533 -529 0 0 
60 -313 -338 502 -282 -31 199 -515 -534 -530 0 0 
61 -315 -339 505 -281 -31 196 -515 -534 -530 0 0 
62 -315 -340 505 -280 -33 195 -516 -534 -529 0 0 
63 -317 -342 506 -280 -34 196 -515 -535 -530 0 0 
64 -317 -338 504 -280 -34 199 -517 -536 -529 0 0 
65 -316 -340 505 -280 -34 200 -517 -535 -530 0 0 
66 -318 -344 503 -283 -33 205 -518 -535 -529 0 0 
67 -311 -341 505 -284 -32 206 -517 -534 -529 0 0 
68 -314 -341 504 -285 -31 206 -516 -534 -528 0 0 
69 -315 -338 507 -286 -25 203 -514 -534 -528 0 0 
70 -317 -340 505 -285 -25 202 -515 -534 -529 0 0 
71 -316 -344 507 -286 -26 203 -516 -534 -530 0 0 
72 -315 -340 505 -285 -30 205 -516 -534 -530 0 0 
73 -313 -339 504 -283 -31 203 -517 -534 -530 0 0 
74 -315 -342 505 -283 -32 202 -517 -533 -530 0 0 
75 -315 -347 504 -283 -34 202 -517 -533 -530 0 0 
76 -316 -342 503 -282 -34 199 -516 -533 -529 0 0 
77 -318 -341 504 -281 -34 198 -517 -533 -530 0 0 
78 -317 -340 506 -282 -33 197 -517 -534 -529 0 0 
79 -316 -339 504 -283 -30 200 -517 -534 -530 0 0 
80 -316 -340 504 -283 -29 200 -516 -534 -529 0 0 
81 -315 -343 503 -284 -28 201 -516 -533 -529 0 0 
82 -316 -340 504 -283 -26 201 -516 -533 -529 0 0 
83 -317 -342 503 -283 -25 199 -515 -533 -529 0 0 
84 -320 -347 505 -283 -25 196 -515 -533 -529 0 0 
85 -314 -347 505 -282 -26 193 -516 -534 -530 0 0 
86 -319 -339 503 -281 -27 194 -516 -534 -530 0 0 
87 -319 -344 504 -281 -29 197 -517 -534 -531 0 0 
88 -316 -340 504 -281 -32 200 -518 -534 -531 0 0 
89 -318 -341 502 -281 -31 200 -517 -534 -531 0 0 
90 -314 -343 503 -281 -31 200 -518 -534 -530 0 0 
91 -317 -345 502 -281 -35 201 -518 -533 -530 0 0 
92 -315 -348 502 -281 -34 200 -517 -534 -530 0 0 
93 -316 -339 504 -281 -31 199 -516 -534 -528 0 0 
94 -317 -343 502 -280 -30 198 -515 -533 -529 0 0 
95 -319 -340 501 -282 -27 196 -515 -534 -529 0 0 
96 -317 -348 503 -281 -26 195 -515 -534 -530 0 0 
97 -318 -341 503 -280 -26 194 -516 -534 -529 0 0 
98 -319 -340 505 -280 -26 192 -516 -534 -530 0 0 
99 -318 -345 504 -280 -26 192 -516 -535 -530 0 0 
100 -318 -343 502 -280 -27 193 -516 -535 -530 0 0 
101 -318 -339 503 -281 -30 201 -517 -535 -530 0 0 
102 -318 -339 502 -282 -31 204 -517 -534 -530 0 0 
103 -317 -341 502 -283 -31 206 -517 -533 -530 0 0 
104 -315 -341 501 -282 -32 203 -517 -533 -529 0 0 
105 -317 -342 503 -282 -33 200 -515 -533 -530 0 0 
106 -318 -347 503 -282 -34 196 -516 -533 -529 0 0 
107 -315 -340 504 -280 -33 191 -515 -534 -529 0 0 
108 -318 -341 503 -280 -33 190 -514 -535 -529 0 0 
109 -318 -344 501 -281 -33 189 -515 -534 -529 0 0 
110 -318 -344 502 -281 -32 189 -516 -536 -528 0 0 
111 -319 -344 502 -281 -30 193 -516 -535 -529 0 0 
112 -318 -340 502 -282 -29 193 -515 -535 -529 0 0 
113 -317 -346 502 -282 -28 193 -515 -535 -529 0 0 
114 -314 -346 503 -282 -27 196 -516 -536 -529 0 0 
115 -318 -342 505 -283 -27 200 -516 -535 -530 0 0 
116 -316 -347 502 -284 -27 205 -517 -535 -530 0 0 
117 -315 -338 502 -285 -29 207 -517 -535 -530 0 0 
118 -316 -338 501 -285 -31 207 -517 -534 -531 0 0 
119 -315 -344 502 -285 -33 208 -518 -533 -530 0 0 
120 -318 -344 504 -285 -32 208 -517 -532 -530 0 0 
121 -317 -335 503 -285 -33 206 -517 -532 -529 0 0 
122 -316 -336 502 -284 -33 202 -515 -533 -530 0 0 
123 -319 -338 501 -282 -33 196 -514 -533 -529 0 0 
124 -318 -341 502 -281 -32 196 -515 -534 -529 0 0 
125 -317 -336 501 -282 -32 197 -517 -533 -529 0 0 
126 -317 -335 503 -282 -32 198 -517 -533 -530 0 0 
127 -318 -346 500 -283 -34 201 -517 -533 -530 0 0 
128 -318 -338 501 -283 -34 200 -517 -533 -530 0 0 
129 -319 -344 500 -285 -31 199 -517 -533 -529 0 0 
130 -315 -338 500 -287 -30 202 -517 -533 -530 0 0 
131 -319 -343 500 -289 -29 205 -515 -533 -529 0 0 
132 -319 -342 499 -289 -28 207 -514 -532 -529 0 0 
133 -314 -347 500 -288 -29 205 -515 -532 -530 0 0 
134 -319 -354 502 -289 -30 206 -516 -532 -530 0 0 
135 -318 -344 500 -290 -29 209 -518 -531 -530 0 0 
136 -319 -341 498 -293 -27 213 -517 -530 -531 0 0 
137 -321 -344 499 -293 -27 212 -517 -530 -531 0 0 
138 -319 -347 500 -293 -29 209 -516 -529 -531 0 0 
139 -316 -351 496 -293 -26 206 -517 -530 -532 0 0 
140 -322 -346 499 -296 -25 207 -517 -529 -531 0 0 
141 -322 -339 496 -297 -25 211 -516 -528 -532 0 0 
142 -320 -344 498 -298 -25 214 -515 -528 -532 0 0 
143 -324 -343 497 -301 -25 218 -515 -526 -532 0 0 
144 -323 -349 497 -303 -25 225 -515 -524 -532 0 0 
145 -326 -340 495 -308 -23 235 -513 -521 -531 0 0 
146 -329 -341 496 -314 -12 246 -510 -518 -530 0 0 
147 -331 -344 494 -315 -5 243 -508 -516 -530 0 0 
148 -331 -343 494 -316 4 237 -506 -514 -530 0 0 
149 -332 -347 491 -325 24 238 -507 -512 -533 0 0 
150 -334 -341 491 -329 30 244 -509 -510 -538 0 0 
151 -335 -344 489 -332 34 248 -512 -508 -542 0 0 
152 -333 -340 488 -337 22 248 -512 -504 -546 0 0 
153 -339 -351 486 -342 18 247 -507 -501 -549 0 0 
