% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor in left hand, tap with right index finger.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -429 -336 353 -311 65 117 -516 -535 -530 0 0 
2 -431 -340 353 -312 64 119 -515 -534 -530 0 0 
3 -427 -342 352 -313 65 119 -516 -534 -530 0 0 
4 -430 -335 351 -314 69 120 -516 -534 -529 0 0 
5 -430 -340 352 -312 67 117 -516 -534 -530 0 0 
6 -431 -336 351 -312 67 118 -516 -534 -530 0 0 
7 -433 -344 352 -312 69 118 -515 -534 -530 0 0 
8 -432 -337 353 -313 69 113 -515 -535 -530 0 0 
9 -426 -332 350 -314 71 115 -516 -535 -531 0 0 
10 -430 -335 351 -314 69 115 -516 -535 -531 0 0 
11 -429 -339 350 -316 65 117 -516 -535 -531 0 0 
12 -430 -335 352 -315 63 121 -515 -535 -531 0 0 
13 -431 -334 351 -313 59 119 -516 -535 -531 0 0 
14 -431 -334 352 -312 57 118 -517 -534 -530 0 0 
15 -431 -333 353 -311 57 119 -517 -535 -529 0 0 
16 -431 -341 354 -313 60 118 -517 -535 -529 0 0 
17 -429 -343 353 -315 64 116 -517 -536 -530 0 0 
18 -430 -339 353 -313 65 114 -518 -536 -529 0 0 
19 -431 -337 351 -313 67 115 -517 -534 -529 0 0 
20 -429 -341 352 -315 70 116 -518 -535 -530 0 0 
21 -430 -334 349 -312 74 113 -517 -535 -530 0 0 
22 -430 -339 352 -314 72 114 -517 -536 -530 0 0 
23 -430 -337 354 -314 70 117 -518 -536 -531 0 0 
24 -431 -337 351 -312 64 125 -517 -536 -531 0 0 
25 -429 -342 353 -312 62 124 -517 -534 -531 0 0 
26 -428 -336 352 -313 61 125 -517 -533 -529 0 0 
27 -430 -335 352 -311 62 124 -518 -534 -530 0 0 
28 -430 -336 352 -312 64 121 -518 -534 -530 0 0 
29 -428 -339 350 -313 67 118 -518 -534 -530 0 0 
30 -431 -333 351 -313 68 117 -519 -533 -530 0 0 
31 -428 -337 351 -314 72 113 -518 -534 -530 0 0 
32 -428 -341 351 -313 72 112 -517 -534 -530 0 0 
33 -427 -349 350 -312 69 112 -517 -535 -531 0 0 
34 -428 -340 349 -312 67 114 -518 -535 -531 0 0 
35 -430 -337 352 -312 66 114 -517 -536 -531 0 0 
36 -425 -338 348 -312 64 114 -517 -536 -530 0 0 
37 -431 -334 351 -313 63 119 -518 -536 -530 0 0 
38 -431 -335 350 -313 63 120 -517 -535 -530 0 0 
39 -430 -340 350 -313 62 120 -517 -536 -530 0 0 
40 -429 -338 351 -313 62 122 -517 -535 -530 0 0 
41 -429 -341 352 -313 61 121 -517 -534 -530 0 0 
42 -431 -334 352 -312 60 121 -517 -534 -529 0 0 
43 -429 -339 352 -313 62 117 -518 -534 -529 0 0 
44 -431 -339 352 -313 64 116 -518 -535 -529 0 0 
45 -428 -346 352 -314 65 115 -518 -535 -529 0 0 
46 -430 -337 352 -313 65 116 -517 -535 -529 0 0 
47 -430 -335 351 -313 64 118 -517 -535 -530 0 0 
48 -431 -339 351 -314 65 118 -517 -535 -529 0 0 
49 -428 -337 351 -314 65 119 -517 -535 -529 0 0 
50 -430 -338 350 -315 64 123 -517 -534 -529 0 0 
51 -429 -335 350 -316 64 122 -517 -534 -529 0 0 
52 -427 -335 351 -314 64 117 -516 -535 -529 0 0 
53 -429 -339 352 -311 65 112 -517 -535 -530 0 0 
54 -429 -341 353 -310 66 113 -517 -535 -529 0 0 
55 -428 -347 353 -310 67 114 -516 -535 -529 0 0 
56 -427 -338 353 -314 68 118 -516 -534 -529 0 0 
57 -429 -336 353 -317 69 122 -516 -533 -529 0 0 
58 -429 -337 352 -316 70 123 -516 -534 -530 0 0 
59 -429 -341 353 -315 68 119 -516 -534 -530 0 0 
60 -430 -338 354 -313 68 119 -516 -534 -530 0 0 
61 -430 -342 350 -310 68 119 -517 -534 -531 0 0 
62 -431 -340 351 -310 69 118 -517 -534 -530 0 0 
63 -431 -339 352 -313 70 117 -518 -534 -531 0 0 
64 -428 -342 353 -313 70 118 -517 -534 -531 0 0 
65 -431 -341 352 -313 68 118 -518 -534 -531 0 0 
66 -431 -339 350 -314 65 117 -517 -535 -530 0 0 
67 -430 -342 351 -314 65 117 -517 -534 -531 0 0 
68 -430 -344 350 -314 63 118 -518 -534 -531 0 0 
69 -432 -337 349 -314 61 121 -518 -535 -531 0 0 
70 -428 -342 349 -314 61 121 -518 -534 -531 0 0 
71 -430 -344 350 -314 63 121 -518 -534 -531 0 0 
72 -429 -352 349 -314 68 116 -518 -534 -531 0 0 
73 -430 -345 349 -314 69 117 -518 -534 -532 0 0 
74 -430 -344 349 -313 69 117 -518 -535 -532 0 0 
75 -431 -348 350 -310 61 116 -519 -535 -532 0 0 
76 -428 -340 349 -309 56 117 -518 -534 -531 0 0 
77 -426 -346 348 -310 56 116 -518 -534 -530 0 0 
78 -429 -343 349 -312 59 114 -517 -535 -530 0 0 
