% Mike Stanley's IMU Data Logger
% Date & Time   Tuesday 08 February 2011  -  04:15:33 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      sensor in left hand, tap with pen
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -379 -399 333 -310 37 139 -517 -534 -530 0 0 
2 -379 -400 331 -308 35 140 -517 -534 -529 0 0 
3 -377 -396 333 -309 36 137 -517 -535 -529 0 0 
4 -376 -400 333 -310 38 137 -517 -535 -530 0 0 
5 -380 -395 330 -311 39 138 -517 -535 -530 0 0 
6 -375 -397 332 -310 37 143 -516 -535 -530 0 0 
7 -378 -395 334 -310 36 142 -516 -535 -530 0 0 
8 -380 -390 332 -309 35 142 -516 -535 -530 0 0 
9 -376 -396 333 -309 32 142 -516 -534 -530 0 0 
10 -378 -392 332 -310 32 144 -517 -534 -530 0 0 
11 -381 -396 333 -310 32 144 -517 -534 -529 0 0 
12 -379 -391 330 -310 34 142 -517 -534 -529 0 0 
13 -376 -394 332 -311 34 140 -517 -533 -530 0 0 
14 -380 -396 332 -310 35 141 -517 -533 -530 0 0 
15 -380 -394 331 -310 36 141 -518 -532 -529 0 0 
16 -377 -396 331 -311 37 139 -516 -533 -529 0 0 
17 -381 -393 334 -311 37 137 -517 -533 -529 0 0 
18 -379 -392 333 -313 39 136 -516 -535 -529 0 0 
19 -378 -390 331 -313 42 130 -515 -536 -529 0 0 
20 -379 -392 330 -315 41 131 -516 -532 -530 0 0 
21 -379 -392 332 -312 42 140 -517 -532 -531 0 0 
22 -381 -392 331 -305 33 131 -515 -534 -530 0 0 
23 -378 -393 330 -307 33 133 -514 -536 -530 0 0 
24 -379 -398 332 -308 35 138 -515 -535 -529 0 0 
25 -378 -396 331 -312 34 144 -517 -534 -530 0 0 
26 -378 -393 332 -313 32 147 -516 -534 -531 0 0 
27 -378 -399 330 -314 32 148 -517 -534 -530 0 0 
28 -377 -403 330 -312 34 147 -517 -532 -530 0 0 
29 -378 -395 331 -310 35 140 -516 -532 -530 0 0 
30 -381 -394 331 -308 35 141 -515 -531 -529 0 0 
31 -382 -396 331 -309 36 143 -515 -530 -529 0 0 
32 -381 -393 331 -310 37 138 -515 -531 -529 0 0 
33 -379 -393 329 -311 38 135 -514 -533 -529 0 0 
34 -383 -397 330 -311 40 135 -515 -535 -530 0 0 
35 -380 -397 330 -311 42 134 -515 -536 -530 0 0 
36 -379 -392 328 -310 43 135 -515 -536 -531 0 0 
37 -380 -398 330 -310 42 136 -516 -536 -531 0 0 
38 -379 -395 331 -312 40 142 -516 -533 -531 0 0 
39 -380 -401 330 -311 37 144 -516 -532 -532 0 0 
40 -378 -405 329 -309 34 147 -516 -532 -531 0 0 
41 -380 -403 329 -310 31 141 -516 -530 -531 0 0 
42 -381 -399 329 -311 30 139 -516 -531 -532 0 0 
43 -380 -399 328 -310 28 138 -517 -531 -531 0 0 
44 -382 -396 329 -310 29 138 -517 -531 -530 0 0 
45 -379 -391 329 -311 31 132 -517 -533 -530 0 0 
46 -381 -394 330 -312 32 131 -517 -533 -530 0 0 
47 -382 -394 329 -312 32 132 -516 -533 -530 0 0 
48 -379 -393 327 -313 33 139 -516 -534 -530 0 0 
49 -381 -389 328 -314 34 138 -516 -534 -529 0 0 
50 -380 -396 329 -313 35 136 -517 -534 -529 0 0 
51 -380 -395 326 -309 31 135 -516 -534 -530 0 0 
52 -381 -393 327 -314 36 137 -517 -534 -529 0 0 
53 -384 -393 327 -310 37 136 -516 -533 -529 0 0 
54 -382 -397 327 -314 38 135 -517 -534 -529 0 0 
55 -383 -397 327 -316 38 136 -518 -532 -530 0 0 
