% Mike Stanley's IMU Data Logger
% Date & Time   Monday 21 February 2011  -  03:45:15 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      This sample set has the IMU strapped to a computer speaker (mag values offsets should be HIGH).  No noise yet. This is a baseline recording.
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 -583 -24 1109 342 36 40 -516 -535 -529 0 0 
2 -577 -28 1110 342 36 40 -516 -535 -530 0 0 
3 -582 -22 1109 342 36 40 -517 -534 -530 0 0 
4 -582 -26 1112 342 36 40 -516 -535 -529 0 0 
5 -581 -27 1110 342 36 41 -517 -534 -530 0 0 
6 -579 -31 1110 342 36 40 -516 -534 -529 0 0 
7 -580 -26 1110 342 36 40 -516 -535 -530 0 0 
8 -580 -28 1112 342 35 41 -516 -535 -530 0 0 
9 -581 -26 1108 342 35 40 -516 -535 -530 0 0 
10 -576 -29 1109 342 35 41 -516 -535 -529 0 0 
11 -578 -36 1111 342 36 41 -517 -535 -530 0 0 
12 -581 -32 1109 342 35 40 -516 -535 -530 0 0 
13 -577 -29 1110 342 36 41 -516 -534 -530 0 0 
14 -582 -36 1110 342 36 41 -517 -535 -529 0 0 
15 -583 -28 1109 342 36 40 -516 -535 -530 0 0 
16 -575 -37 1109 342 35 41 -516 -535 -529 0 0 
17 -576 -38 1111 342 36 41 -516 -535 -530 0 0 
18 -580 -30 1109 342 35 40 -516 -535 -530 0 0 
19 -577 -26 1110 342 36 41 -517 -535 -530 0 0 
20 -575 -27 1108 342 35 40 -517 -534 -529 0 0 
21 -579 -28 1109 342 36 41 -516 -534 -529 0 0 
22 -580 -31 1111 342 36 41 -517 -534 -530 0 0 
23 -581 -30 1110 342 36 41 -516 -535 -530 0 0 
24 -579 -26 1111 342 36 41 -516 -535 -530 0 0 
25 -582 -28 1110 342 35 41 -516 -534 -530 0 0 
26 -579 -28 1111 342 35 41 -517 -535 -530 0 0 
27 -581 -28 1109 342 36 41 -516 -535 -529 0 0 
28 -577 -27 1110 342 35 42 -516 -535 -530 0 0 
29 -580 -38 1110 342 36 41 -516 -535 -530 0 0 
30 -578 -33 1111 342 35 41 -516 -534 -530 0 0 
31 -582 -38 1111 342 35 41 -516 -535 -529 0 0 
32 -578 -39 1112 342 36 41 -516 -535 -530 0 0 
33 -581 -39 1110 342 36 41 -516 -534 -530 0 0 
34 -582 -32 1110 342 36 42 -516 -534 -529 0 0 
