% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:31:46 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Stationary
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
1 308 -196 549 1 2 353 -516 -535 -529 0 0 
2 309 -198 546 1 2 353 -516 -534 -529 0 0 
3 310 -194 548 1 2 354 -516 -535 -530 0 0 
4 307 -200 548 1 2 353 -515 -534 -529 0 0 
5 312 -197 548 1 2 354 -516 -534 -529 0 0 
6 309 -204 549 1 2 354 -516 -534 -530 0 0 
7 309 -198 546 1 2 355 -516 -534 -530 0 0 
8 311 -205 549 1 2 353 -516 -534 -529 0 0 
9 311 -210 549 1 2 352 -516 -534 -529 0 0 
10 311 -200 548 1 2 352 -516 -534 -530 0 0 
11 313 -204 549 1 2 354 -516 -534 -530 0 0 
12 311 -201 547 1 2 354 -516 -534 -529 0 0 
13 309 -198 546 1 2 354 -516 -534 -530 0 0 
14 310 -205 547 1 2 353 -516 -534 -529 0 0 
15 308 -200 548 1 2 353 -517 -534 -530 0 0 
16 308 -198 547 1 2 354 -516 -535 -529 0 0 
17 309 -199 548 1 2 354 -516 -534 -530 0 0 
18 308 -201 546 1 2 353 -516 -535 -530 0 0 
19 313 -205 549 1 2 353 -516 -534 -530 0 0 
20 309 -206 547 1 2 353 -516 -534 -530 0 0 
21 309 -209 548 1 2 353 -516 -535 -530 0 0 
22 309 -202 544 1 2 353 -516 -534 -530 0 0 
23 307 -207 548 1 2 354 -515 -534 -530 0 0 
24 311 -204 549 1 2 354 -516 -534 -529 0 0 
25 310 -202 547 1 2 354 -516 -535 -529 0 0 
26 309 -195 547 1 2 353 -516 -534 -530 0 0 
27 309 -206 547 1 2 353 -516 -534 -529 0 0 
28 311 -201 549 1 2 353 -515 -535 -529 0 0 
29 310 -200 549 1 2 354 -516 -535 -530 0 0 
30 309 -200 548 1 2 354 -516 -534 -529 0 0 
31 309 -199 548 1 2 354 -516 -534 -530 0 0 
32 307 -204 549 1 2 353 -516 -534 -530 0 0 
33 315 -197 546 1 2 354 -516 -535 -529 0 0 
34 310 -205 547 1 2 354 -515 -535 -530 0 0 
35 313 -207 548 1 2 354 -516 -534 -530 0 0 
36 310 -206 547 1 2 353 -516 -535 -530 0 0 
37 305 -203 550 1 2 354 -516 -534 -530 0 0 
38 312 -200 548 1 2 354 -516 -534 -529 0 0 
39 311 -206 545 1 2 354 -516 -534 -530 0 0 
40 313 -203 547 1 2 353 -516 -534 -530 0 0 
41 306 -205 549 1 2 353 -516 -534 -529 0 0 
42 309 -208 548 1 2 352 -516 -535 -530 0 0 
43 312 -202 546 1 2 354 -516 -535 -529 0 0 
44 309 -207 548 1 2 354 -516 -535 -530 0 0 
45 309 -206 546 1 2 354 -516 -534 -530 0 0 
46 308 -198 547 1 2 352 -516 -534 -530 0 0 
47 309 -203 549 1 2 353 -516 -535 -530 0 0 
48 312 -206 546 1 2 354 -516 -534 -530 0 0 
49 312 -200 547 1 2 354 -516 -534 -529 0 0 
50 308 -198 545 1 2 353 -516 -534 -529 0 0 
51 310 -198 547 1 2 354 -516 -534 -530 0 0 
52 308 -207 548 1 2 354 -515 -535 -530 0 0 
53 309 -202 546 1 2 352 -516 -534 -530 0 0 
54 309 -194 548 1 2 354 -516 -534 -530 0 0 
55 310 -201 547 1 2 354 -516 -534 -530 0 0 
56 308 -200 549 1 2 354 -516 -534 -530 0 0 
57 310 -204 545 1 2 355 -516 -535 -529 0 0 
58 310 -198 547 1 2 354 -516 -535 -530 0 0 
59 307 -203 549 1 2 354 -516 -535 -530 0 0 
60 309 -198 547 1 2 353 -516 -535 -530 0 0 
61 311 -203 548 1 2 353 -515 -534 -530 0 0 
62 307 -207 548 1 2 354 -516 -535 -530 0 0 
63 311 -204 548 1 2 354 -516 -535 -530 0 0 
64 315 -199 548 1 2 354 -516 -534 -530 0 0 
65 309 -200 547 1 2 354 -516 -534 -530 0 0 
66 312 -202 546 1 2 353 -516 -534 -529 0 0 
67 309 -210 546 1 2 353 -515 -534 -530 0 0 
68 309 -202 548 2 2 353 -516 -535 -529 0 0 
69 312 -200 547 1 2 354 -516 -535 -530 0 0 
70 309 -205 547 1 2 354 -516 -534 -530 0 0 
71 307 -200 547 1 2 354 -516 -534 -530 0 0 
72 309 -202 548 1 2 352 -516 -534 -529 0 0 
73 312 -202 548 1 2 353 -516 -536 -530 0 0 
74 310 -206 546 1 2 353 -516 -534 -530 0 0 
75 311 -200 546 1 2 354 -516 -534 -530 0 0 
76 308 -204 548 1 2 354 -516 -534 -530 0 0 
77 309 -201 548 1 2 353 -515 -535 -530 0 0 
78 310 -203 547 1 2 354 -516 -534 -530 0 0 
79 309 -197 548 1 2 354 -516 -533 -530 0 0 
80 310 -203 548 1 2 354 -516 -534 -530 0 0 
81 311 -201 546 1 2 354 -516 -534 -530 0 0 
82 308 -208 547 1 2 353 -516 -534 -530 0 0 
83 310 -201 548 1 2 354 -517 -534 -530 0 0 
84 309 -202 549 1 2 353 -517 -534 -530 0 0 
85 310 -205 546 1 2 353 -516 -534 -530 0 0 
86 309 -205 546 1 2 354 -516 -534 -530 0 0 
87 307 -199 546 1 2 354 -516 -535 -530 0 0 
88 313 -201 547 1 2 353 -516 -535 -530 0 0 
89 309 -203 546 1 2 353 -516 -535 -529 0 0 
90 309 -198 547 1 2 354 -516 -534 -529 0 0 
91 309 -200 548 1 2 354 -516 -535 -529 0 0 
92 310 -209 547 1 2 354 -516 -534 -530 0 0 
93 310 -200 549 1 2 354 -516 -535 -530 0 0 
94 309 -198 547 1 2 353 -516 -534 -529 0 0 
95 309 -197 546 1 2 353 -516 -534 -530 0 0 
96 310 -201 550 1 2 353 -516 -535 -530 0 0 
97 308 -200 548 1 2 355 -516 -535 -530 0 0 
98 309 -207 548 1 2 354 -517 -534 -530 0 0 
99 310 -200 546 1 2 353 -517 -534 -530 0 0 
100 308 -199 547 1 2 353 -515 -535 -529 0 0 
101 308 -201 547 2 2 353 -515 -534 -530 0 0 
102 309 -202 547 1 2 354 -516 -534 -530 0 0 
103 310 -201 546 1 2 354 -516 -534 -529 0 0 
104 311 -202 549 1 2 353 -516 -535 -529 0 0 
105 311 -203 546 1 2 354 -516 -534 -529 0 0 
106 311 -203 547 1 2 354 -516 -535 -530 0 0 
107 310 -196 547 1 2 354 -517 -534 -530 0 0 
108 310 -197 550 1 2 354 -517 -534 -529 0 0 
109 310 -203 547 1 2 353 -516 -535 -529 0 0 
110 309 -198 548 1 2 353 -516 -534 -530 0 0 
111 309 -198 548 1 2 354 -516 -535 -530 0 0 
112 310 -194 545 1 2 355 -516 -534 -530 0 0 
113 309 -202 548 1 2 353 -516 -535 -530 0 0 
